gene_id	log2FC_TE_deseq2	lfcSE_TE_deseq2	stat_TE_deseq2	pvalue_TE_deseq2	padj_TE_deseq2	baseMean_counts	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS11035	-3.07868322878884	0.599165725482904	-5.13828327931733	2.77259706135457e-07	0.000384559212409879	299.949031001963	raw_counts / DESeq2 median-of-ratios	3.595	1.553	98.244	9.535	775.769	323.088	6118.443	442.103	775.769	323.088	6118.443	442.103
MM_RS04225	-2.60100142860894	0.531045864862618	-4.89788472278533	9.68738359952965e-07	0.000671820052627381	1425.08350540427	raw_counts / DESeq2 median-of-ratios	2.25	1.868	255.362	63.683	478.017	394.777	15381.377	2937.592	478.017	394.777	15381.377	2937.592
MM_RS11030	-2.66628634261956	0.566984328648366	-4.70257502350324	2.56900775870145e-06	0.00118773792043964	778.490790098619	raw_counts / DESeq2 median-of-ratios	0.698	0.188	18.872	1.709	150.425	39.807	1164.519	75.058	150.425	39.807	1164.519	75.058
MM_RS11005	-2.35250179091681	0.512313644667438	-4.59191711055032	4.3919281206783e-06	0.0015229010758452	1275.03003949542	raw_counts / DESeq2 median-of-ratios	1.21	0.355	43.412	4.238	258.252	74.331	2608.635	195.753	258.252	74.331	2608.635	195.753
MM_RS11045	-2.79246044167246	0.629230882287549	-4.43789477007321	9.08430089987038e-06	0.00251998506962404	344.379175177887	raw_counts / DESeq2 median-of-ratios	0.371	0.192	44.204	6.601	79.636	40.967	2657.482	304.67	79.636	40.967	2657.482	304.67
MM_RS07150	-2.15446932971858	0.519599753292675	-4.14640175647857	3.37740996841805e-05	0.00780744604365971	6516.19007814535	raw_counts / DESeq2 median-of-ratios	1.234	0.946	84.632	31.211	261.793	204.911	5065.869	1333.939	261.793	204.911	5065.869	1333.939
MM_RS11050	-2.6449774709157	0.663720344703931	-3.98507819147168	6.74579086987394e-05	0.010736255820088	366.926196833377	raw_counts / DESeq2 median-of-ratios	0.49	0.207	34.092	4.797	105.491	44.355	2012.949	212.06	105.491	44.355	2012.949	212.06
MM_RS04800	-2.09091449089575	0.525695560776996	-3.97742466724526	6.96656830431086e-05	0.010736255820088	908.412474909563	raw_counts / DESeq2 median-of-ratios	0.993	0.809	73.318	28.049	211.631	173.704	4441.771	1249.536	211.631	173.704	4441.771	1249.536
MM_RS11110	-2.06439402659327	0.515767209030846	-4.0025693577387	6.26582908629772e-05	0.010736255820088	1031.2039006312	raw_counts / DESeq2 median-of-ratios	5.654	1.048	54.028	4.533	1203.268	224.106	3216.103	207.44	1203.268	224.106	3216.103	207.44
MM_RS03510	-2.65265485459161	0.683882759928376	-3.87881521515387	0.00010496644889298	0.0108074559107977	773.179215112114	raw_counts / DESeq2 median-of-ratios	0.277	1.135	5.662	7.461	59.067	247.054	361.499	336.232	59.067	247.054	361.499	336.232
MM_RS11060	-2.53923565528564	0.647575430622856	-3.92114267343858	8.81300608348276e-05	0.0108074559107977	657.646611019325	raw_counts / DESeq2 median-of-ratios	0.357	0.144	27.483	3.523	76.916	30.113	1633.614	157.716	76.916	30.113	1633.614	157.716
MM_RS11760	-2.41154892833057	0.611016765006211	-3.94678029547365	7.9209179556702e-05	0.0108074559107977	733.933263906691	raw_counts / DESeq2 median-of-ratios	0.628	0.104	13.666	0.767	135.029	21.765	810.719	34.768	135.029	21.765	810.719	34.768
MM_RS11090	-2.04864865441379	0.531760100792397	-3.85258061174769	0.000116879479929319	0.0108074559107977	808.931592717641	raw_counts / DESeq2 median-of-ratios	1.923	0.488	53.534	5.785	411.865	102.322	3198.641	263.912	411.865	102.322	3198.641	263.912
MM_RS19145	2.0012286038386	0.512886473261547	3.90189390473176	9.54429915328983e-05	0.0108074559107977	624.011690734953	raw_counts / DESeq2 median-of-ratios	5.529	3.597	2.761	13.638	1169.668	775.225	161.614	599.206	1169.668	775.225	161.614	599.206
MM_RS16525	1.86094949229491	0.482661579874562	3.85559897429281	0.000115446609680252	0.0108074559107977	10739.9671316798	raw_counts / DESeq2 median-of-ratios	0.905	6.411	5.077	222.172	193.106	1351.962	296.1	10301.388	193.106	1351.962	296.1	10301.388
MM_RS05045	-2.10464990852753	0.566091557946409	-3.71786132293246	0.00020091650454211	0.0174169494874942	467.900910405072	raw_counts / DESeq2 median-of-ratios	0.412	0.222	14.756	3.82	87.878	47.455	885.459	164.826	87.878	47.455	885.459	164.826
MM_RS11070	-2.35289250807638	0.637640320758011	-3.68999956790581	0.000224254432872664	0.017768516637302	314.229379549219	raw_counts / DESeq2 median-of-ratios	7.143	1.641	395.171	25.779	1511.417	343.679	22457.192	1167.577	1511.417	343.679	22457.192	1167.577
MM_RS11085	-1.98988307469115	0.542335233900901	-3.66910160045909	0.000243404337497288	0.017768516637302	604.751601132877	raw_counts / DESeq2 median-of-ratios	1.926	0.453	41.32	4.241	410.629	95.556	2425.82	190.114	410.629	95.556	2425.82	190.114
MM_RS02080	-1.73672518617398	0.473059719587089	-3.67125991553431	0.000241357735597143	0.017768516637302	518358.090360234	raw_counts / DESeq2 median-of-ratios	306714.046	279382.071	38829.059	20596.59	64993517.878	61459742.734	2255634.466	886501.946	64993517.878	61459742.734	2255634.466	886501.946
MM_RS11015	-2.28724319572818	0.635332812125623	-3.60007094246524	0.000318130371737947	0.0210117536000254	1021.71308506204	raw_counts / DESeq2 median-of-ratios	1.098	0.288	35.237	3.221	233.58	60.188	2167.035	144.496	233.58	60.188	2167.035	144.496
MM_RS11105	-1.98189618603433	0.54925172976815	-3.60835674904643	0.000308142580176914	0.0210117536000254	440.220422811875	raw_counts / DESeq2 median-of-ratios	1.502	0.281	24.496	2.406	322.551	60.146	1473.774	107.327	322.551	60.146	1473.774	107.327
MM_RS11740	-1.85112781047276	0.517709507527289	-3.57561100106933	0.000349410880587424	0.0220287677897617	788.172933590427	raw_counts / DESeq2 median-of-ratios	0.943	0.428	35.847	8.328	201.766	90.194	2172.117	378.305	201.766	90.194	2172.117	378.305
MM_RS11055	-2.28828365830624	0.651855899801328	-3.51041335823401	0.000447410587142687	0.0269808036681264	524.744087300477	raw_counts / DESeq2 median-of-ratios	0.704	0.23	61.024	7.249	150.391	48.073	3655.532	320.909	150.391	48.073	3655.532	320.909
MM_RS03030	-2.48745023906174	0.71637358063534	-3.47228081311382	0.000516056226254227	0.0298237494089422	317.035949073622	raw_counts / DESeq2 median-of-ratios	0.142	0.084	12.096	1.193	29.349	17.317	649.67	59.322	29.349	17.317	649.67	59.322
MM_RS11020	-1.94433939735258	0.562820568134385	-3.45463458060462	0.000551039123023667	0.0305716505453531	612.546637911709	raw_counts / DESeq2 median-of-ratios	2.225	0.54	44.119	4.26	473.015	112.343	2609.815	196.899	473.015	112.343	2609.815	196.899
MM_RS11245	-1.73812807064464	0.505748901132882	-3.43674117086802	0.000588757935482122	0.0314079714043732	2142.26193936097	raw_counts / DESeq2 median-of-ratios	0.499	0.818	18.083	16.318	106.748	173.694	1061.222	731.864	106.748	173.694	1061.222	731.864
MM_RS06900	2.04470992546621	0.602897824268934	3.39147006865649	0.000695187559173802	0.0332125877614375	257.196559326378	raw_counts / DESeq2 median-of-ratios	1.029	0.411	1.424	4.409	217.07	89.035	83.173	198.797	217.07	89.035	83.173	198.797
MM_RS05330	-1.99457148558318	0.587266635782745	-3.39636438382829	0.000682873868352846	0.0332125877614375	2784.96116734113	raw_counts / DESeq2 median-of-ratios	0.246	3.157	11.569	56.506	52.467	659.496	674.606	2528.669	52.467	659.496	674.606	2528.669
MM_RS00395	-1.8756405277142	0.554517860474501	-3.38247090203589	0.000718368877320206	0.0332125877614375	760.74893647913	raw_counts / DESeq2 median-of-ratios	0.413	1.267	19.386	18.74	85.713	263.606	1053.066	916.63	85.713	263.606	1053.066	916.63
MM_RS11990	-1.83451518646883	0.538175222118183	-3.40876932098144	0.000652566353295728	0.0332125877614375	762.016923781004	raw_counts / DESeq2 median-of-ratios	0.204	0.242	6.34	4.908	44.087	51.646	388.847	223.072	44.087	51.646	388.847	223.072
