gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS00005	1620.3453	1558.6657	2164.2558	5612.603	466.9137	689.4688	545.0668	1172.1648
MM_RS00010	290.34	580.5365	2110.9627	1951.7863	68.2751	123.8754	290.4422	374.0617
MM_RS00015	86.0128	118.3923	895.0947	843.6801	17.6194	31.2291	157.1012	222.8653
MM_RS00020	38.687	41.3363	574.524	464.8154	13.655	14.5736	65.9612	160.3122
MM_RS00025	46.2523	57.8611	440.0781	541.7571	7.9287	21.5134	100.715	181.0584
MM_RS00030	41.6647	42.0103	612.2738	747.016	7.0478	11.1037	35.8177	165.9702
MM_RS00035	18.0289	16.0753	6.4599	3.6523	12.7741	17.3495	3.9009	5.8209
MM_RS00040	7.1364	5.2719	9.8917	2.9218	3.5239	5.2048	14.8945	6.1239
MM_RS00045	43.5698	44.0321	75.2978	24.8356	24.6671	38.1689	68.4436	55.9521
MM_RS00050	69.7436	115.2146	228.427	116.4174	38.8736	70.4164	110.1432	236.2687
MM_RS00055	28.5472	58.6101	50.8595	20.2094	3.5239	3.8169	3.1917	2.5147
MM_RS00060	33.8041	61.3305	57.5331	31.8967	3.5239	8.6747	3.1917	2.5147
MM_RS00065	153.9967	99.1047	26.2432	23.6182	55.5011	22.2073	9.575	25.7757
MM_RS00070	28.9799	19.3391	17.9665	8.7655	6.1668	7.2868	7.4472	2.829
MM_RS00075	225.8222	410.2905	690.9759	348.378	114.2454	151.8587	187.2207	148.7508
MM_RS00080	54.6887	86.5912	204.0453	84.5935	16.5006	26.0489	45.1182	68.309
MM_RS00090	233.9957	355.1764	610.457	403.7003	35.6793	55.8654	108.5169	81.4134
MM_RS00095	143.1042	208.4077	268.6251	242.9993	11.0121	23.2483	28.3704	28.6047
MM_RS00105	958.9109	1025.5441	299.778	239.5905	396.4361	229.0133	236.1838	78.8987
MM_RS00110	12.3967	14.1534	5.6556	3.6523	3.5239	5.5518	3.1917	4.0864
MM_RS00115	30.3321	64.6434	88.8776	91.4951	3.1464	2.9734	3.2137	9.5521
MM_RS00120	65.0602	31.2819	32.0974	8.8824	2.8464	13.3407	0	7.8584
MM_RS00125	42.8483	23.6978	15.0228	6.3087	13.8295	25.4104	9.4332	16.658
MM_RS00130	197.942	176.5778	72.8753	36.5229	20.7028	36.4339	12.4121	15.7169
MM_RS00135	90.8937	130.2342	31.0881	16.5571	38.7626	41.2918	20.2139	26.7187
MM_RS00145	54.1741	79.3041	33.7124	11.9311	13.2145	19.4314	6.738	15.4025
MM_RS00150	14.7852	14.9965	7.1997	5.6002	1.3215	2.2523	1.0639	3.4577
MM_RS00155	36.4439	36.2548	56.9403	26.2965	9.6907	13.5326	23.051	28.6047
MM_RS00160	1.878	2.9205	3.2299	0.2435	1.3215	1.388	3.9009	2.2004
MM_RS00165	36.4334	59.7579	66.2136	22.1573	10.5716	20.1254	13.8306	27.033
MM_RS00170	76.166	54.5358	0	8.8921	13.011	10.9486	12.7667	0
MM_RS00175	31.8976	24.8274	10.4129	9.7614	26.6951	34.2718	11.49	12.5754
MM_RS00180	11.1618	8.9223	2.5252	1.2174	1.7619	1.5646	0	0.3143
MM_RS00185	1.5024	2.2465	6.0561	2.6783	0.4405	2.4289	3.9009	5.9724
MM_RS00190	28.5457	39.6763	40.3965	14.6092	7.9287	12.4916	13.8306	24.8327
MM_RS00195	21.7849	24.4062	57.9369	25.3226	9.2502	12.1446	29.7889	30.1764
MM_RS00200	99.4567	109.8557	364.1747	476.2592	14.0955	34.005	55.3223	49.351
MM_RS00205	248.6186	372.041	1124.6217	588.7499	60.7869	190.8444	161.7114	207.7771
MM_RS00210	152.8699	347.9947	629.231	430.4838	52.8582	58.2943	87.2391	86.1285
MM_RS00215	37.5602	35.9433	95.283	35.549	3.5239	9.3687	36.1723	36.4632
MM_RS00220	3.756	4.0438	19.1777	10.2264	1.7619	3.1229	12.0574	9.7445
MM_RS00225	27.0433	30.6814	40.7779	98.125	11.8931	16.6555	41.4917	27.3474
MM_RS00230	28.3061	42.9109	45.3444	23.1297	9.2497	28.4532	16.169	20.5602
MM_RS00240	59.7319	55.0316	20.1869	18.5145	5.2858	12.8386	4.2556	9.7445
MM_RS00245	105.5441	118.3925	83.5745	95.2031	24.6671	35.393	23.4056	24.8327
MM_RS00250	145.3578	241.9521	131.8216	141.709	28.6315	56.5593	35.1084	58.1525
MM_RS00255	57.4866	75.0456	87.4585	48.6973	77.0848	78.4197	118.8012	61.9245
MM_RS00260	47.7112	70.4829	93.4318	36.2795	54.6201	90.9113	42.5556	69.1543
MM_RS00265	26.6677	18.4216	31.6937	10.2264	5.7263	10.0627	29.7889	20.1176
MM_RS00270	215.7794	355.1396	411.8162	399.0741	99.5495	154.4105	186.1809	175.086
MM_RS00275	5.634	8.3122	6.4599	5.3567	3.5239	2.4289	4.9648	5.6581
MM_RS00280	5.1183	8.2095	49.4355	0	4e-04	49.6244	11.4432	48.1226
MM_RS00285	157.0015	190.802	159.6797	62.576	9.6907	22.2073	10.6389	13.8312
MM_RS00290	81.1859	70.7659	49.6602	128.5608	10.1311	17.3495	9.575	22.6323
MM_RS00295	179.5376	175.6792	96.2923	172.1448	49.3343	63.1521	39.0093	50.9227
MM_RS00300	176.5328	257.4532	246.0804	162.1619	28.6315	75.9908	56.3862	75.0855
MM_RS00305	119.8214	119.2911	70.8566	132.7	15.8574	31.9231	15.6037	27.976
MM_RS00310	603.9644	620.2618	464.9082	567.0796	40.9651	135.673	63.1242	84.5568
MM_RS00315	62.7255	84.9191	77.3165	106.4035	8.3692	31.5761	8.8658	22.318
MM_RS00320	8.2933	20.2191	15.7459	18.9919	7.0478	21.5134	12.0574	20.7463
MM_RS00325	67.2327	71.8892	45.0172	30.6793	49.7748	113.8127	50.3575	120.3913
MM_RS00330	147.984	137.2634	202.2738	120.0388	44.4889	82.9306	53.5492	86.4428
MM_RS00335	45.4339	38.8651	35.1255	16.5571	31.7149	54.8244	10.9935	44.9503
MM_RS00340	185.6328	164.2515	262.0433	283.0881	41.4056	75.6438	82.9945	92.569
MM_RS00345	72.1155	100.3176	103.3578	202.0936	14.0955	23.9423	9.9296	29.5477
MM_RS00350	119.4357	156.8175	112.442	230.0946	31.2744	46.8436	33.3352	47.465
MM_RS00355	32.3017	39.9884	74.894	115.4125	11.7711	22.5543	78.3733	112.8472
MM_RS00360	26.6677	48.5252	80.7483	31.1662	6.1668	11.4507	14.8945	14.1452
MM_RS00365	8.2632	33.0241	59.35	11.9308	5.7263	10.7567	14.1852	9.7445
MM_RS00370	1129.0584	672.554	2699.415	980.5194	357.233	287.6546	426.9752	221.2937
MM_RS00375	25.9143	26.0598	107.1933	65.7413	8.3692	8.6747	21.2778	39.9209
MM_RS00380	146.109	181.5202	439.8732	611.8811	25.5481	70.7859	63.1242	93.3583
MM_RS00385	55.2119	75.2365	63.7911	25.0791	46.2509	45.8027	12.0574	37.7205
MM_RS00390	52.2086	61.1898	35.2028	14.6092	12.3336	8.6747	7.8019	4.7151
MM_RS00395	182.1878	846.2707	1088.2849	93.2553	59.4654	236.3001	77.3094	18.8603
MM_RS00400	31.1749	26.0598	13.9291	4.6262	10.5716	15.2676	13.1213	11.6305
MM_RS00405	37.171	58.6355	17.9665	11.6873	9.2502	14.5774	4.6102	5.6581
MM_RS00410	253.5311	306.2031	32.9049	32.1402	55.9415	99.2391	25.888	47.1506
MM_RS00415	38.6975	72.5717	190.3713	90.0899	14.536	30.5351	22.6963	40.2352
MM_RS00420	10.1412	15.7258	27.2525	16.5571	1.3215	4.1639	4.9648	6.9154
MM_RS00425	16.5265	29.205	78.7296	14.8527	1.7619	3.8169	4.9648	4.4007
MM_RS00430	15.0241	44.9307	27.4544	19.7224	10.5716	32.617	23.051	37.4062
MM_RS00435	44.7045	66.316	169.5714	53.567	6.1668	12.4916	21.2778	23.5753
MM_RS00440	320.3961	380.6621	437.6557	589.4804	63.4298	105.4849	81.9196	121.3343
MM_RS00445	13.5217	14.7728	18.5721	5.6002	8.3692	18.7374	15.2491	13.5165
MM_RS00450	39.8138	29.8789	60.3593	19.2354	10.1311	12.1446	17.0223	18.2316
MM_RS00455	69.8619	92.5573	27.8582	20.9398	14.536	48.5786	11.3482	23.5753
MM_RS00460	83.3836	98.3983	44.6134	43.0971	32.5959	80.1546	35.8177	49.6653
MM_RS00465	186.2984	180.6216	66.0117	80.594	46.2509	95.0752	21.9871	48.408
MM_RS00470	115.5497	128.0522	144.5394	162.1619	44.4889	71.8269	117.3826	95.873
MM_RS00480	135.5922	234.2921	220.2383	315.8018	13.2145	24.9833	49.2936	55.3234
MM_RS00485	20.7899	13.4781	10.1204	0	0	0	0	11.5092
MM_RS00490	300.1057	302.142	147.5675	185.5366	66.0727	127.3453	72.6992	87.7002
MM_RS00495	23.0852	38.3102	26.0381	14.1222	12.7741	26.3851	19.5047	33.3198
MM_RS00505	23.2873	37.3604	20.5908	12.6613	3.0834	6.2458	0	4.0864
MM_RS00510	47.3314	74.8097	36.3367	28.9749	15.417	30.1881	20.2139	21.375
MM_RS00515	28.5457	38.8568	17.159	25.8095	7.0478	17.6965	5.6741	7.8584
MM_RS00520	20.2825	30.3887	24.0226	18.7484	2.6429	9.7157	2.837	10.3731
MM_RS00525	26.6677	21.7914	29.8769	14.8527	2.6429	6.2458	7.0926	5.6581
MM_RS00530	21.7849	56.8374	55.7163	16.3136	1.3215	3.4692	3.9009	4.4007
MM_RS00535	19.1557	37.7418	34.318	11.4439	1.7619	5.8988	1.7732	2.829
MM_RS00540	162.4488	130.2612	55.7167	35.3055	307.8987	85.7065	14.8945	138.3085
MM_RS00545	12.0226	26.9659	16.5534	9.496	1.7619	7.2868	3.9009	6.2868
MM_RS00550	57.0914	54.8735	46.0265	38.4708	15.8574	28.1062	19.8593	28.6047
MM_RS00555	65.9857	109.4221	148.1731	64.7674	11.4526	37.1279	28.3704	30.4907
MM_RS00560	80.7543	108.5075	149.1824	85.9507	61.6678	80.8486	86.1752	99.0163
MM_RS00565	2.4561	0	2.9394	1.0528	0.8189	0	6.9798	5.5653
MM_RS00570	26.8409	35.7213	130.1113	90.2545	4.9074	11.1037	18.1989	16.1239
MM_RS00575	291.4668	159.7288	141.7132	33.1141	93.8232	104.7916	37.9454	40.5495
MM_RS00580	57.467	57.5114	45.4209	8.035	23.7862	36.4339	7.0926	15.4025
MM_RS00585	3.0048	0.674	1.0094	0.487	0	0	0	0.3143
MM_RS00590	7.8876	9.1656	47.8434	69.6371	0.881	3.8169	3.9009	10.6875
MM_RS00595	1.878	0.674	0.4037	0.7305	1.3215	2.7759	0.7093	2.829
MM_RS00600	286.3425	306.877	436.4445	289.5052	38.7626	61.7642	91.4946	61.2958
MM_RS00605	275.6916	271.5873	184.7117	108.1067	90.2993	146.0827	82.2742	73.555
MM_RS00610	22.1605	25.8352	19.1777	15.5831	15.8574	25.3303	20.2139	24.5183
MM_RS00615	120.6177	139.7333	52.2845	92.2813	36.5602	69.3796	19.15	25.4613
MM_RS00620	21.0337	26.7358	17.7646	14.8527	15.417	18.0435	8.8658	10.3731
MM_RS00625	167.8939	202.6015	204.495	83.5158	26.8696	47.5376	23.4056	30.1764
MM_RS00630	22.1605	19.7695	8.8823	7.3046	35.2388	38.5159	20.2139	20.7463
MM_RS00635	269.3495	469.9033	156.0461	294.6184	41.846	73.9682	38.3001	39.3969
MM_RS00640	218.2095	165.1205	412.22	267.1045	63.4298	113.8127	183.6985	238.8966
MM_RS00645	299.7301	477.6233	654.6836	363.7686	126.8596	358.7875	208.8772	457.0402
MM_RS00650	847.3572	806.8821	911.8499	661.3088	337.8517	578.779	528.3991	505.1405
MM_RS00655	110.8025	120.1711	54.9088	28.9749	35.2388	53.4364	23.051	21.0606
MM_RS00660	285.0715	261.3756	384.9674	296.0794	41.846	38.5159	56.0316	37.0918
MM_RS00665	23.9878	35.7404	14.3328	10.9569	10.5716	9.3687	4.9648	9.4301
MM_RS00670	46.199	62.2291	26.0413	22.8877	2.6429	17.3495	3.1917	3.4577
MM_RS00675	30.1323	69.418	27.0507	16.8006	8.3692	16.3085	11.3482	14.7739
MM_RS00680	2336.2416	2741.5921	481.6635	416.8486	663.8103	920.217	154.2642	98.3877
MM_RS00685	1641.0034	1594.8554	291.2994	133.9175	726.3591	731.8015	197.5291	80.4704
MM_RS00690	41.9032	72.3288	54.5051	48.9407	16.7384	24.6342	18.4408	24.8327
MM_RS00695	96.154	75.4837	17.159	10.9569	23.7862	36.7809	19.15	21.0606
MM_RS00700	320.6481	823.0008	267.7262	798.7642	1098.3664	1723.9321	979.347	1715.6925
MM_RS00705	5328.5436	4641.5191	15356.2849	4417.6272	42591.7246	47188.3714	45954.7839	42211.1976
MM_RS00710	573.2334	1194.4954	659.1266	1289.7295	841.2758	2093.233	612.2153	1867.1718
MM_RS00715	322.8469	823.7428	260.0363	798.1382	1100.5327	1650.9904	982.4965	1715.8799
MM_RS00720	5320.9996	4640.5127	15282.4535	4409.4821	41885.4674	46107.4433	45679.9267	41913.4039
MM_RS00725	572.9634	1192.5129	658.5384	1203.7384	841.4361	2094.7938	609.0282	1871.102
MM_RS00730	9736.7205	13597.1679	439.6744	269.2959	2800.601	5602.8445	246.8227	142.7093
MM_RS00740	306.8665	429.8943	150.3937	214.5114	152.8482	285.2256	194.3374	234.4958
MM_RS00745	19.5313	20.4435	28.06	27.027	12.7741	12.1446	21.9871	14.7739
MM_RS00750	28.9213	24.038	45.0172	35.062	9.6907	15.6145	11.3482	20.7463
MM_RS00755	54.0866	81.3267	52.2845	26.2965	11.4526	28.8002	40.0732	29.5477
MM_RS00760	126.5777	150.518	258.5964	149.7441	13.655	24.9833	14.5398	17.6029
MM_RS00765	34.1797	44.4814	15.1403	16.5571	2.2024	4.8579	2.837	2.2004
MM_RS00770	128.0801	113.4966	350.0412	406.1352	34.3578	47.1906	81.9196	86.4428
MM_RS00775	83.008	116.1446	192.3828	192.5977	25.1076	53.0894	37.9454	101.531
MM_RS00780	155.1937	209.6444	120.9753	373.6534	507.9554	932.6344	469.4727	712.4964
MM_RS00785	58.9695	53.0183	51.477	16.8006	25.5481	30.8821	42.201	40.5495
MM_RS00790	74.7068	85.1438	58.1614	171.4144	12.7741	20.8194	9.9296	11.9448
MM_RS00795	61.2231	59.3086	47.6415	35.549	16.2979	16.6555	9.9296	15.7169
MM_RS00800	11.6436	13.0299	3.0281	2.9218	2.2024	6.2458	1.7732	3.4577
MM_RS00805	56.7158	69.4169	69.8473	64.2804	15.8574	37.1279	23.7602	31.7481
MM_RS00815	56.7331	63.391	47.2377	17.0321	13.2145	22.9013	17.7315	16.3456
MM_RS00820	1.878	5.3917	1.2112	0.7305	0	1.041	0	0.943
MM_RS00825	327.2388	149.9301	371.5057	41.8796	15.417	23.7574	18.7954	14.1452
MM_RS00830	28.9213	42.0145	24.2245	5.3567	12.3336	31.2291	44.3288	55.9521
MM_RS00835	206.2241	186.5967	250.3209	243.2428	47.5723	63.4991	89.7215	72.9263
MM_RS00840	62.7255	94.3676	50.8714	72.3154	7.4882	19.7784	8.8658	14.4595
MM_RS00845	151.538	160.9756	405.7601	231.5555	29.072	51.7015	69.5075	81.4134
MM_RS00850	1.1268	2.9205	15.1403	14.3657	0.4405	2.7759	13.1213	12.5735
MM_RS00855	6.9937	5.0075	6.6617	4.8697	0	0.694	4.6102	12.5735
MM_RS00860	7.6548	8.0224	4.0374	4.8697	8.3692	9.7157	5.3195	7.5441
MM_RS00865	46.199	67.3018	59.7537	32.8707	10.5716	24.1425	15.9584	36.7775
MM_RS00870	33.4285	46.4391	17.3609	12.4178	75.7633	173.8419	20.9232	52.4944
MM_RS00880	36.809	37.2925	36.7405	19.4789	4.8453	9.3687	4.6102	9.7445
MM_RS00885	70.6131	57.7529	84.7857	54.2974	13.2145	17.3495	16.313	27.033
MM_RS00890	86.764	73.3364	120.5168	102.7512	16.2979	29.8411	32.2714	50.9227
MM_RS00895	0.3756	0.4493	0.6056	0.2435	0.881	2.0819	0.3546	1.2574
MM_RS00900	80.7543	42.8356	110.4233	156.5617	13.655	15.2676	14.1852	16.0312
MM_RS00905	9.4479	8.7507	20.5609	8.5101	7.0478	7.9256	4.0786	10.3096
MM_RS00910	69.6287	77.7084	78.5826	33.1178	28.3787	59.6822	34.2754	48.325
MM_RS00915	39.6947	40.5884	57.3077	18.505	17.8722	22.9117	33.1044	28.2904
MM_RS00930	58.794	69.9983	46.3586	23.1312	14.3312	19.2718	19.8589	19.1746
MM_RS00940	16.5265	41.7856	34.1161	10.7134	3.9644	7.2868	7.0926	5.3437
MM_RS00945	210.998	143.4239	155.0666	49.0454	1062.6008	871.8424	2523.5854	613.4898
MM_RS00950	14562.4823	15791.8975	19210.9698	8247.8756	5184.9132	11495.7513	3611.0234	6102.2253
MM_RS00955	231.3706	421.2258	301.1911	303.8709	777.0148	1522.2443	886.5758	1036.9997
MM_RS00960	230464.7864	114728.1782	59517.075	119169.5294	8723.7871	3069.1343	30000.6064	8931.2503
MM_RS00970	86.1491	166.2382	193.895	539.4529	21.5921	34.7302	66.0407	72.7531
MM_RS00975	95.6905	134.3683	266.6219	410.8267	28.117	83.6395	145.0598	141.9743
MM_RS00980	42.1436	38.6445	59.1481	59.6541	24.2267	32.617	47.8751	35.5201
MM_RS00985	28.0071	38.4403	19.2205	12.6613	0.4405	4.5109	3.9009	1.886
MM_RS00990	263.7542	274.3317	486.7103	490.6249	79.3075	136.367	220.9347	323.4534
MM_RS00995	15.3997	22.9354	20.7927	5.8437	5.2858	3.4699	3.9009	1.886
MM_RS01000	24.7897	18.197	27.4544	18.9919	3.5239	9.0217	10.6389	7.8584
MM_RS01010	62.7255	64.0274	38.1536	24.8356	15.417	19.4314	12.0574	17.6029
MM_RS01015	65.1218	76.0417	264.252	158.9966	17.1789	36.4339	68.7983	82.0421
MM_RS01020	158.9873	175.5399	216.3656	208.6678	31.2744	68.704	39.0093	63.1819
MM_RS01025	197.9402	278.1213	1440.7512	1394.6896	29.953	56.9063	150.0086	170.0566
MM_RS01030	104.7684	132.5457	71.0585	48.2948	21.5837	36.0869	15.6037	21.0606
MM_RS01035	22.5906	33.2166	15.3422	5.3567	6.6073	13.5326	3.5463	5.9724
MM_RS01040	148.6733	210.9216	259.8074	102.2643	14.0955	22.9013	3.9009	13.8309
MM_RS01045	42.4434	60.4319	34.7218	13.3917	3.5239	10.7567	3.1917	5.0294
MM_RS01050	10.0868	11.0402	12.7179	2.6783	1.7619	4.5109	2.4824	1.2574
MM_RS01055	107.9614	126.8577	63.5895	30.1923	20.7028	49.6195	31.5621	51.5514
MM_RS01060	16.1509	17.0737	14.1309	8.035	66.9537	42.6797	15.2491	19.1746
MM_RS01065	298.7644	145.1189	248.2915	82.5158	44.866	52.6415	50.9267	132.4795
MM_RS01070	5.9514	12.7563	5.8549	1.4609	0	7.9808	2.4824	9.4301
MM_RS01075	52.3457	44.982	52.6883	15.8266	7.4882	18.3905	25.5334	29.2334
MM_RS01080	16.9021	15.3672	18.3438	6.3306	9.2502	22.2073	14.5398	19.1746
MM_RS01085	17.654	23.9506	14.7366	3.4088	4.4048	6.9398	6.0287	11.6305
MM_RS01090	24.7897	30.0254	40.576	9.496	7.0478	12.4916	24.1149	28.2904
MM_RS01095	55.5943	70.0401	28.8675	19.9659	16.7384	42.1707	35.463	43.0642
MM_RS01100	3.3804	6.0657	1.8168	1.4609	0.881	6.5928	0	7.5441
MM_RS01105	121.6949	117.6963	31.8956	11.2004	16.2979	51.0075	23.7602	27.3474
MM_RS01110	18.4045	17.0737	11.7085	5.8437	2.2024	1.388	1.7732	2.2004
MM_RS01115	97.2808	100.1956	22.2058	16.8006	47.5723	48.2316	13.1213	13.5165
MM_RS01120	2.2277	3.5945	6.0561	4.6262	0	1.041	0.3546	5.3437
MM_RS01125	115.3097	110.7543	193.594	45.2885	10.5716	15.6145	27.3065	16.0312
MM_RS01130	10.5168	4.9246	6.258	1.7044	2.2024	1.7349	1.4185	1.2574
MM_RS01135	44.321	40.6637	11.5066	8.522	15.417	26.3712	13.476	11.0018
MM_RS01140	101.788	137.9686	38.1536	22.4007	13.655	25.3303	3.5463	11.6305
MM_RS01145	54.0866	70.2986	21.1964	29.9488	7.9287	16.6555	0.7093	5.9724
MM_RS01155	16.9021	26.9584	9.8917	2.6783	97.3471	75.6438	7.4472	47.465
MM_RS01165	10.773	15.5564	13.1216	4.8697	2.6429	8.3278	2.1278	10.0588
MM_RS01170	23.2873	34.1474	28.4646	33.1141	3.5239	11.4507	6.738	7.2317
MM_RS01175	95.0272	132.3211	152.6142	99.5859	21.5837	74.9498	29.0797	35.2058
MM_RS01180	26.6677	25.0314	19.5851	19.2133	10.1311	21.1664	7.8019	15.4025
MM_RS01185	107.5614	175.1998	65.8575	253.3012	191.1139	261.3264	75.9941	198.8025
MM_RS01190	26.2921	37.7418	44.6134	14.3657	2.2024	7.6338	6.738	5.3437
MM_RS01195	3.0048	11.008	5.6524	2.6783	0.4405	3.1229	2.4824	7.5441
MM_RS01200	1.1268	4.2684	1.0094	3.1653	0.4405	1.041	0.7093	1.886
MM_RS01205	8.2632	7.4136	10.2954	3.6523	1.3215	5.8988	4.9648	6.9154
MM_RS01210	90.8956	112.9896	50.4677	53.2346	23.7862	33.658	19.15	12.8878
MM_RS01215	35.6822	23.8133	38.5573	6.8176	93.3827	107.5668	48.2297	85.4998
MM_RS01220	42.1132	42.309	102.3351	36.7664	14.536	26.7182	20.9232	32.3768
MM_RS01225	142.353	371.8019	291.7032	387.3867	264.7312	450.3928	278.7394	292.3415
MM_RS01230	49.5794	121.0884	198.0352	119.0648	9.2502	15.2676	15.2491	11.6305
MM_RS01235	25.1653	33.2488	29.2713	13.8787	5.7263	14.5736	10.6389	10.6875
MM_RS01240	2.6292	7.6382	5.8543	5.3567	0.4405	0.694	0.7093	0.3143
MM_RS01245	2.6292	3.3698	5.6524	2.9218	6.6073	9.3687	6.0287	12.5735
MM_RS01250	8.264	16.5732	6.6617	2.9218	2.2024	4.1639	1.4185	0.943
MM_RS01255	33.4792	42.3342	10.0937	9.9829	9.2502	28.8002	17.3769	14.1452
MM_RS01260	7.8621	9.2108	11.5066	2.6783	1.3215	2.4289	1.4185	0.943
MM_RS01270	25.1653	62.2291	252.3384	72.0719	11.8931	33.311	51.776	61.6102
MM_RS01275	6.7608	5.3935	2.0187	1.2174	4.4048	1.7349	3.5463	4.4007
MM_RS01280	44.321	53.0367	17.3609	19.4256	3.0834	11.1037	4.6102	4.0864
MM_RS01285	19.1557	20.813	41.3835	26.053	2.6429	6.2458	5.6741	8.8015
MM_RS01290	30.0109	38.0918	23.2151	15.8266	45.3699	54.1304	25.1788	58.4668
MM_RS01295	85.6372	101.8643	38.961	47.4798	37.4412	71.4799	24.4695	46.522
MM_RS01300	49.6237	61.3305	39.7685	28.7314	17.1789	20.1265	13.1213	20.4319
MM_RS01305	50.3306	50.8349	22.2058	11.4439	16.7384	18.7374	13.1213	11.9448
MM_RS01310	20.6581	32.1255	21.1964	11.2004	4.4048	6.2458	6.0287	7.2298
MM_RS01315	60.3288	98.4177	62.1762	41.3927	14.536	48.2316	36.1723	27.6617
MM_RS01320	665.1904	520.2981	84.5838	55.2714	223.3257	331.7223	19.15	28.9191
MM_RS01325	2858.3282	2918.6954	333.0867	292.6706	554.1296	992.0439	38.6547	59.4098
MM_RS01330	21.4093	40.6623	51.2752	13.1483	6.6073	10.4097	2.4824	8.1728
MM_RS01335	523.9642	558.9385	492.1608	340.1504	157.6935	217.5626	186.1809	121.6486
MM_RS01340	188.9276	238.5823	270.9105	134.6479	55.0606	83.9715	68.4436	50.6084
MM_RS01345	157.4113	159.727	108.3773	68.9066	74.0014	102.362	54.9677	65.3822
MM_RS01350	299.3545	374.2536	401.1173	244.9472	142.2765	200.9071	138.3058	144.5953
MM_RS01355	238.1314	266.0466	81.1518	42.8536	98.6685	286.9606	71.99	105.6174
MM_RS01360	28.9213	39.5391	10.4973	7.7916	18.5004	23.5953	7.4472	15.7169
MM_RS01365	8.2632	11.2327	3.6337	0.9739	0.881	4.1639	3.1917	3.1434
