gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS00005	3369.1508	2647.7238	4069.093	17322.8207	3306.5518	2954.1262	2963.7303	5080.3884
MM_RS00010	603.6981	986.1225	3968.8933	6024.022	483.5052	530.7615	1579.2421	1621.2556
MM_RS00015	178.8446	201.1171	1682.8988	2603.9466	124.7755	133.8054	854.2176	965.9414
MM_RS00020	80.441	70.2193	1080.1827	1434.613	96.701	62.4425	358.6557	694.8238
MM_RS00025	96.0606	98.4596	827.4063	1672.0869	56.149	92.1771	547.6249	784.7422
MM_RS00030	86.6889	71.3641	1151.1574	2305.6012	49.9102	47.5753	194.7539	719.347
MM_RS00035	37.4871	27.4771	12.1454	11.2725	90.4623	74.3363	21.2108	25.8856
MM_RS00040	14.8386	8.7774	18.5977	9.018	24.9551	22.3009	80.9868	25.8856
MM_RS00045	90.5938	74.7988	141.57	76.653	174.6858	163.54	372.1535	242.5071
MM_RS00050	145.2624	195.7743	429.644	359.2169	274.5062	301.8055	599.6878	1024.5246
MM_RS00055	59.3545	99.6045	95.6451	62.3745	24.9551	16.354	17.3543	10.8992
MM_RS00060	70.2883	104.184	108.1701	98.4465	24.9551	37.1682	17.3543	10.8992
MM_RS00065	320.2021	168.2972	49.3407	72.8955	393.0429	95.1505	52.0629	111.7168
MM_RS00070	60.1355	32.8199	33.7794	27.054	43.6714	31.2213	40.4934	12.2616
MM_RS00075	469.3694	696.8498	1299.1797	1075.3961	807.9216	651.1863	1018.1194	644.4151
MM_RS00080	114.0232	146.9262	383.7191	260.7704	115.4174	111.5045	244.8886	295.6407
MM_RS00090	486.551	603.3513	1147.7415	1245.9866	252.6705	239.363	590.0465	352.8615
MM_RS00095	297.5537	354.1493	505.1733	749.9967	77.9847	99.6107	154.2605	123.9784
MM_RS00105	1993.8438	1742.1244	563.6231	739.4758	2807.4496	981.2397	1284.2188	341.9623
MM_RS00110	25.7724	24.0425	10.6272	11.2725	24.9551	23.7876	17.3543	17.7112
MM_RS00115	63.2594	109.9084	166.9994	282.5639	21.8357	13.3805	17.3543	40.872
MM_RS00120	135.1097	53.0461	60.3475	27.054	18.7163	56.4956	0	34.06
MM_RS00125	89.0318	40.0708	28.0863	19.539	96.701	108.5311	52.0629	72.2072
MM_RS00130	411.5768	299.9583	137.0154	112.725	146.6113	156.1063	67.489	68.12
MM_RS00135	188.9973	221.3433	58.4498	51.102	274.5062	176.9205	109.9106	115.804
MM_RS00145	112.4612	134.7141	63.3839	36.8235	93.5817	83.2567	36.6369	66.7576
MM_RS00150	30.4582	25.569	13.6636	17.2845	9.3582	8.9204	5.7848	14.9864
MM_RS00155	75.7551	61.4418	107.0315	81.162	68.6265	57.9823	125.3367	123.9784
MM_RS00160	3.9049	4.9611	6.0727	0.7515	9.3582	5.9469	21.2108	9.5368
MM_RS00165	75.7551	101.5126	124.4905	68.3865	74.8653	86.2302	75.202	117.1664
MM_RS00170	158.5391	92.7352	0	27.8055	93.5817	47.5753	69.4172	0
MM_RS00175	66.3834	42.3605	19.7363	30.06	190.2827	147.186	61.7042	54.496
MM_RS00180	23.4294	15.2651	4.9341	3.7575	12.4776	7.4336	0	1.3624
MM_RS00185	3.1239	3.8163	11.3863	8.2665	3.1194	10.4071	21.2108	25.8856
MM_RS00190	59.3545	67.5479	75.9088	45.09	56.149	53.5222	75.202	107.6296
MM_RS00195	45.2969	41.5973	108.9292	78.156	65.5072	52.0354	161.9735	130.7904
MM_RS00200	206.9599	186.6153	684.6977	1469.9335	99.8204	145.6992	300.808	213.8968
MM_RS00205	517.0092	631.9733	2114.4405	1817.1264	430.4756	817.6998	879.285	900.5462
MM_RS00210	317.8591	591.1393	1183.0392	1328.6516	374.3266	249.7701	474.3511	373.2975
MM_RS00215	78.0981	61.0602	179.1448	109.719	24.9551	40.1416	196.6822	158.0384
MM_RS00220	7.8098	6.8693	36.0567	31.563	12.4776	13.3805	65.5607	42.2344
MM_RS00225	56.2306	52.2828	76.6679	302.8544	84.2235	71.3629	225.606	118.5288
MM_RS00230	58.5736	72.8906	85.3974	71.3925	65.5072	121.9116	88.6998	88.556
MM_RS00240	124.1759	93.4985	37.9544	57.114	37.4327	55.0089	23.1391	42.2344
MM_RS00245	219.4556	201.1171	157.1313	293.8364	174.6858	151.6461	127.2649	107.6296
MM_RS00250	302.2395	411.0116	247.8423	437.3729	202.7603	242.3365	190.8974	252.0439
MM_RS00255	119.49	127.4632	164.3426	150.2999	545.893	336.0003	645.9659	268.3927
MM_RS00260	99.1846	119.8307	175.7289	111.9735	386.8042	389.5224	231.3908	299.7279
MM_RS00265	55.4496	31.2934	59.5884	31.563	40.5521	43.1151	161.9735	87.1936
MM_RS00270	448.2829	603.3513	774.2701	1231.7081	704.9818	661.5934	1012.3347	758.8566
MM_RS00275	11.7147	14.1202	12.1454	16.533	24.9551	10.4071	26.9956	24.5232
MM_RS00280	10.9337	14.1202	92.9883	0	0	212.6019	61.7042	208.4472
