gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS00005	1113.6394	1071.2479	1487.461	3857.4591	320.9029	473.8617	374.6163	805.6116
MM_RS00010	199.1358	398.1732	1447.8482	1338.6737	46.8279	84.9625	199.2059	256.5581
MM_RS00015	102.0318	140.4416	1061.7968	1000.8067	20.9008	37.0452	186.3597	264.3717
MM_RS00020	54.6426	58.3846	811.4746	656.5189	19.2868	20.5841	93.1656	226.4296
MM_RS00025	55.8603	69.8806	531.4953	654.296	9.5758	25.9823	121.6365	218.6696
MM_RS00030	90.1834	90.9313	1325.268	1616.9178	15.2549	24.0339	77.5274	359.2429
MM_RS00035	17.8858	15.9477	6.4086	3.6233	12.6727	17.2118	3.87	5.7747
MM_RS00040	6.2436	4.6124	8.6541	2.5563	3.083	4.5537	13.031	5.3578
MM_RS00045	92.5049	93.4865	159.8679	52.7295	52.3718	81.038	145.3156	118.7942
MM_RS00050	270.324	446.5681	885.3759	451.2302	150.673	272.9317	426.9117	915.7701
MM_RS00055	132.1631	271.3432	235.4607	93.5619	16.3142	17.6708	14.7763	11.6421
MM_RS00060	98.8425	179.3289	168.2256	93.2652	10.3037	25.3648	9.3324	7.3529
MM_RS00065	331.1756	213.1283	56.437	50.7918	119.3571	47.7577	20.5914	55.4316
MM_RS00070	66.1642	44.1532	41.0194	20.0126	14.0794	16.6365	17.0028	6.459
MM_RS00075	5372.1145	9760.4559	16437.7189	8287.6113	2717.7991	3612.5869	4453.8178	3538.6533
MM_RS00080	1459.6504	2311.1328	5445.9992	2257.8129	440.4023	695.2484	1204.2116	1823.1781
MM_RS00090	348.2078	528.5364	908.4181	600.7445	53.0941	83.133	161.4834	121.1509
MM_RS00095	2887.4942	4205.1591	5420.1998	4903.1344	222.1976	469.0944	572.446	577.1735
