gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS00005	28.7897	20.6543	27.9162	54.8557	1.3718	2.34	1.8282	3.673
MM_RS00010	5.148	7.677	27.1728	19.0369	0.2002	0.4196	0.9721	1.1697
MM_RS00015	2.6377	2.7078	19.9275	14.2322	0.0893	0.1829	0.9095	1.2053
MM_RS00020	1.4126	1.1257	15.2295	9.3361	0.0824	0.1016	0.4547	1.0324
MM_RS00025	1.4441	1.3473	9.9749	9.3045	0.0409	0.1283	0.5936	0.997
MM_RS00030	2.3314	1.7532	24.8722	22.9937	0.0652	0.1187	0.3783	1.6379
MM_RS00035	0.4624	0.3075	0.1203	0.0515	0.0542	0.085	0.0189	0.0263
MM_RS00040	0.1614	0.0889	0.1624	0.0364	0.0132	0.0225	0.0636	0.0244
MM_RS00045	2.3914	1.8025	3.0004	0.7498	0.2239	0.4002	0.7092	0.5416
MM_RS00050	6.9884	8.6101	16.6165	6.4168	0.6441	1.3478	2.0834	4.1752
MM_RS00055	3.4167	5.2317	4.4191	1.3305	0.0697	0.0873	0.0721	0.0531
MM_RS00060	2.5553	3.4576	3.1572	1.3263	0.044	0.1253	0.0455	0.0335
MM_RS00065	8.5615	4.1092	1.0592	0.7223	0.5102	0.2358	0.1005	0.2527
MM_RS00070	1.7105	0.8513	0.7698	0.2846	0.0602	0.0822	0.083	0.0294
MM_RS00075	138.8792	188.1875	308.498	117.8555	11.6177	17.8397	21.7352	16.1336
MM_RS00080	37.7347	44.56	102.2088	32.1076	1.8826	3.4333	5.8767	8.3123
MM_RS00090	9.0018	10.1905	17.0489	8.543	0.227	0.4105	0.7881	0.5524
MM_RS00095	74.6471	81.078	101.7246	69.7259	0.9498	2.3165	2.7936	2.6315
MM_RS00105	21.6314	17.254	4.9094	2.9731	1.4787	0.9868	1.0058	0.3139
MM_RS00110	0.3424	0.2915	0.1134	0.0555	0.0161	0.0293	0.0166	0.0199
MM_RS00115	19.7502	31.3922	42.0126	32.7714	0.3388	0.3698	0.395	1.0969
MM_RS00120	13.6742	4.9035	4.8975	1.0269	0.0989	0.5356	0	0.2913
MM_RS00125	14.749	6.0837	3.754	1.1945	0.7871	1.6708	0.6129	1.0112
MM_RS00130	29.925	19.9095	7.9983	3.0373	0.5175	1.0522	0.3542	0.419
MM_RS00135	11.1894	11.9571	2.7783	1.1212	0.789	0.971	0.4697	0.5801
MM_RS00145	3.5366	3.8612	1.5977	0.4285	0.1426	0.2423	0.083	0.1773
MM_RS00150	1.9304	1.4603	0.6824	0.4022	0.0285	0.0562	0.0262	0.0796
MM_RS00155	0.3849	0.2855	0.4365	0.1528	0.0169	0.0273	0.046	0.0533
MM_RS00160	0.1927	0.2234	0.2405	0.0137	0.0224	0.0272	0.0755	0.0398
MM_RS00165	0.969	1.1854	1.2785	0.3242	0.0465	0.1022	0.0694	0.1268
MM_RS00170	16.0084	8.5486	0	1.0281	0.4522	0.4396	0.5065	0
MM_RS00175	10.9796	6.3737	2.6021	1.8483	1.5194	2.2534	0.7466	0.7634
MM_RS00180	1.4573	0.8688	0.2394	0.0874	0.038	0.039	0	0.0072
MM_RS00185	0.0416	0.0464	0.1218	0.0408	0.002	0.0129	0.0204	0.0292
MM_RS00190	0.2767	0.2868	0.2843	0.0779	0.0127	0.0231	0.0253	0.0425
MM_RS00195	0.3018	0.2522	0.5827	0.193	0.0212	0.0321	0.0779	0.0737
MM_RS00200	2.4842	2.0465	6.6036	6.5437	0.0582	0.1622	0.2608	0.2174
MM_RS00205	2.0922	2.335	6.8706	2.7254	0.0846	0.3068	0.2569	0.3084
MM_RS00210	4.1295	7.011	12.3398	6.3968	0.2361	0.3008	0.4449	0.4103
MM_RS00215	0.8071	0.5761	1.4865	0.4202	0.0125	0.0385	0.1467	0.1382
MM_RS00220	0.1426	0.1145	0.5285	0.2135	0.0111	0.0226	0.0864	0.0652
MM_RS00225	0.9068	0.7673	0.9926	1.8099	0.0659	0.1067	0.2626	0.1617
MM_RS00230	0.3041	0.3439	0.3537	0.1367	0.0164	0.0584	0.0328	0.039
MM_RS00240	2.2283	1.5311	0.5467	0.3799	0.0326	0.0915	0.03	0.0641
MM_RS00245	2.9244	2.4466	1.6811	1.4511	0.113	0.1873	0.1224	0.1213
MM_RS00250	10.8921	13.5217	7.171	5.8412	0.3548	0.8096	0.4966	0.7685
MM_RS00255	1.1795	1.1484	1.3027	0.5496	0.2615	0.3073	0.4601	0.2241
