gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS00005	11.7192	11.3718	11.9913	14.0806	11.6922	11.5297	11.5344	12.3114
MM_RS00010	9.2434	9.9491	11.9554	12.5571	8.9245	9.0584	10.6272	10.665
MM_RS00015	7.5017	7.6689	10.7188	11.3478	6.9905	7.0895	9.7425	9.9194
MM_RS00020	6.3719	6.1819	10.0803	10.4889	6.6306	6.0183	8.4961	9.4455
MM_RS00025	6.6212	6.656	9.6966	10.7095	5.8709	6.5632	9.1033	9.6205
MM_RS00030	6.4769	6.2044	10.1719	11.1724	5.7082	5.6423	7.6231	9.4953
MM_RS00035	5.3165	4.8986	3.8524	3.7618	6.5368	6.2615	4.5575	4.8193
MM_RS00040	4.1004	3.4654	4.3873	3.4968	4.7709	4.623	6.3814	4.8193
MM_RS00045	6.5388	6.2701	7.1695	6.3044	7.4682	7.3744	8.549	7.936
MM_RS00050	7.206	7.6306	8.755	8.4983	8.1132	8.2489	9.2338	10.0041
MM_RS00055	5.9479	6.6723	6.6151	6.0168	4.7709	4.2231	4.2986	3.7212
MM_RS00060	6.1832	6.7356	6.7886	6.6558	4.7709	5.3049	4.2986	3.7212
MM_RS00065	8.3336	7.4152	5.6924	6.2341	8.6273	6.6078	5.7665	6.8342
MM_RS00070	5.966	5.1366	5.1754	4.8779	5.5248	5.0694	5.4215	3.8641
MM_RS00075	8.8819	9.4497	10.346	10.0739	9.6623	9.3522	9.9951	9.3372
MM_RS00080	6.8631	7.2222	8.5929	8.0398	6.8802	6.8315	7.95	8.2193
MM_RS00090	8.9335	9.2426	10.1676	10.2858	7.9947	7.9174	9.2105	8.4727
MM_RS00095	8.2286	8.4779	8.9875	9.5553	6.3285	6.6724	7.2914	6.9815
MM_RS00105	10.9631	10.7686	9.1447	9.535	11.4563	9.942	10.3294	8.4278
MM_RS00110	4.8135	4.7217	3.6909	3.7618	4.7709	4.7077	4.2986	4.3246
MM_RS00115	6.0364	6.8111	7.4042	8.1546	4.5954	3.9715	4.2986	5.4342
MM_RS00120	7.1033	5.7923	5.9709	4.8779	4.3955	5.8794	0.262	5.1866
MM_RS00125	6.5143	5.4072	4.9278	4.451	6.6306	6.7933	5.7665	6.2208
MM_RS00130	8.6934	8.2401	7.1231	6.8469	7.2192	7.3083	6.1265	6.1395
MM_RS00135	7.5804	7.8056	5.9266	5.7407	8.1132	7.4863	6.8112	6.885
MM_RS00145	6.8436	7.0991	6.0391	5.2922	6.5844	6.4202	5.2853	6.1113
MM_RS00150	5.0362	4.803	3.9975	4.2935	3.5401	3.4842	3.0006	4.1128
MM_RS00155	6.2879	5.9959	6.7737	6.3844	6.1498	5.9154	6.9969	6.9815
MM_RS00160	2.6008	2.8397	3.0527	1.3762	3.5401	3.0302	4.5575	3.5624
MM_RS00165	6.2879	6.699	6.9873	6.145	6.2714	6.4694	6.2776	6.9015
MM_RS00170	7.3303	6.5717	0.262	4.9144	6.5844	5.6423	6.1658	0.262
MM_RS00175	6.1035	5.4831	4.464	5.0185	7.59	7.2247	6.0018	5.8296
MM_RS00180	4.6877	4.136	2.834	2.5638	3.8854	3.2755	0.262	1.735
MM_RS00185	2.3918	2.5787	3.7739	3.3962	2.3905	3.6659	4.5575	4.8193
MM_RS00190	5.9479	6.1277	6.2907	5.5686	5.8709	5.8046	6.2776	6.7816
MM_RS00195	5.5749	5.4582	6.7985	6.3316	6.085	5.7657	7.3607	7.0572
MM_RS00200	7.7098	7.5623	9.4244	10.5239	6.6753	7.2103	8.2441	7.7568
MM_RS00205	9.0207	9.3092	11.0477	10.8293	8.7578	9.6796	9.7841	9.8185
MM_RS00210	8.3231	9.2132	10.2112	10.3783	8.5574	7.9782	8.8971	8.5534
MM_RS00215	6.3305	5.9872	7.5041	6.8087	4.7709	5.4096	7.6372	7.3258
MM_RS00220	3.3313	3.1874	5.2637	5.084	3.8854	3.9715	6.0861	5.479
