gene_id	log2FC_RNA	lfcSE_RNA	pvalue_RNA	padj_RNA	baseMean_counts_RNA	log2FC_basis_RNA	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	log2FC_Ribo	lfcSE_Ribo	pvalue_Ribo	padj_Ribo	baseMean_counts_Ribo	log2FC_basis_Ribo	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus	log2FC_TE_deseq2	lfcSE_TE_deseq2	stat_TE_deseq2	pvalue_TE_deseq2	padj_TE_deseq2	log2FC_TE_xtail	pvalue_TE_xtail	padj_TE_xtail	log2FC_TE_riborex	pvalue_TE_riborex	padj_TE_riborex	mode	mode_basis	n_TE_methods_sig
MM_RS11035	-1.21765726013379	0.704386460007055	0.0838667706056074	0.238720772045247	75.2460603291346	raw_counts / DESeq2 median-of-ratios	3.595	1.553	775.769	323.088	775.769	323.088	-4.32865946140122	0.589876328438361	2.16406055351079e-13	1.43743560612044e-11	863.360198787916	raw_counts / DESeq2 median-of-ratios	98.244	9.535	6118.443	442.103	6118.443	442.103	-3.07868322878884	0.599165725482904	-5.13828327931733	2.77259706135457e-07	0.000384559212409879	-3.11682047783746	3.92677119993922e-06	0.00171386526645538	-4.30087674953363	6.54633893244112e-06	0.000193153775692027	Translational	TE from deseq2, alpha = 0.05	3
MM_RS04225	-0.223282053929019	0.445175818919061	0.615977583606633	0.783822460033772	138.526361136029	raw_counts / DESeq2 median-of-ratios	2.25	1.868	478.017	394.777	478.017	394.777	-2.846465532389	0.467858373734587	1.17196861358829e-09	4.59997680833404e-08	4858.75943750824	raw_counts / DESeq2 median-of-ratios	255.362	63.683	15381.377	2937.592	15381.377	2937.592	-2.60100142860894	0.531045864862618	-4.89788472278533	9.68738359952965e-07	0.000671820052627381	-2.63074009509036	4.45929948405152e-07	0.000510292504291629	-2.81405565833416	9.87608692827277e-07	4.32791774423404e-05	Translational	TE from deseq2, alpha = 0.05	3
MM_RS11030	-1.80611878766674	0.555241396704727	0.00114252481493866	0.0103869841540622	186.5288839889	raw_counts / DESeq2 median-of-ratios	0.698	0.188	150.425	39.807	150.425	39.807	-4.42856987103729	0.54067978438475	2.59615589101128e-16	2.13502915417928e-14	2273.39595467558	raw_counts / DESeq2 median-of-ratios	18.872	1.709	1164.519	75.058	1164.519	75.058	-2.66628634261956	0.566984328648366	-4.70257502350324	2.56900775870145e-06	0.00118773792043964	-2.62750475969622	8.61380121832873e-06	0.00246426496521021	-4.39520438352804	3.36035452424372e-07	1.73025313346353e-05	Intensified	TE from deseq2, alpha = 0.05	3
MM_RS11005	-1.77583340228951	0.48929765958356	0.000284133661458172	0.00339681792273245	261.774576319013	raw_counts / DESeq2 median-of-ratios	1.21	0.355	258.252	74.331	258.252	74.331	-4.18774616961736	0.467044061861844	3.06112171830091e-19	3.6459015224177e-17	3875.24323674384	raw_counts / DESeq2 median-of-ratios	43.412	4.238	2608.635	195.753	2608.635	195.753	-2.35250179091681	0.512313644667438	-4.59191711055032	4.3919281206783e-06	0.0015229010758452	-2.41708668056127	2.95357686697841e-06	0.00171386526645538	-4.15496422758887	1.97327745534515e-12	4.7107514524876e-10	Intensified	TE from deseq2, alpha = 0.05	3
MM_RS11045	-0.817226248805905	0.710352077411968	0.249957590633581	NA	28.4130523105446	raw_counts / DESeq2 median-of-ratios	0.371	0.192	79.636	40.967	79.636	40.967	-3.57419964826674	0.472540776860802	3.91488754950118e-14	2.81708783249523e-12	1193.96328473376	raw_counts / DESeq2 median-of-ratios	44.204	6.601	2657.482	304.67	2657.482	304.67	-2.79246044167246	0.629230882287549	-4.43789477007321	9.08430089987038e-06	0.00251998506962404	-2.74868753636839	4.49309274631472e-06	0.00171386526645538	-3.54246778429299	1.27868122277195e-06	5.32025054969859e-05	Translational	TE from deseq2, alpha = 0.05	3
MM_RS07150	-0.187997533112719	0.410034176161859	0.646598757139653	0.804233194537757	970.382394175037	raw_counts / DESeq2 median-of-ratios	1.234	0.946	261.793	204.911	261.793	204.911	-2.29098366106033	0.525617288793293	1.30865089526697e-05	0.000177955913080791	20996.9479886375	raw_counts / DESeq2 median-of-ratios	84.632	31.211	5065.869	1333.939	5065.869	1333.939	-2.15446932971858	0.519599753292675	-4.14640175647857	3.37740996841805e-05	0.00780744604365971	-2.10944876960694	0.000161530884109219	0.014593040135446	-2.25485290371537	0.000466533487019575	0.00655142747012516	Translational	TE from deseq2, alpha = 0.05	3
MM_RS11110	-2.30960946287519	0.373131906973227	6.0243072590238e-10	2.88082373126518e-08	512.162474413296	raw_counts / DESeq2 median-of-ratios	5.654	1.048	1203.268	224.106	1203.268	224.106	-4.37038624641606	0.434299404498783	8.0447956267203e-24	2.1374403149763e-21	2081.76785940771	raw_counts / DESeq2 median-of-ratios	54.028	4.533	3216.103	207.44	3216.103	207.44	-2.06439402659327	0.515767209030846	-4.0025693577387	6.26582908629772e-05	0.010736255820088	-2.06844868935035	1.95807210271742e-05	0.00395415384036994	-4.33570871785717	2.46755594142021e-17	1.29596038043389e-14	Intensified	TE from deseq2, alpha = 0.05	3
MM_RS11050	-1.07670130509117	0.649677085974518	0.0974614903616231	0.259210704621402	48.5563092514808	raw_counts / DESeq2 median-of-ratios	0.49	0.207	105.491	44.355	105.491	44.355	-3.61353739806484	0.425056874811626	1.87473888018493e-17	1.75009407896182e-15	1208.02732695707	raw_counts / DESeq2 median-of-ratios	34.092	4.797	2012.949	212.06	2012.949	212.06	-2.6449774709157	0.663720344703931	-3.98507819147168	6.74579086987394e-05	0.010736255820088	-2.53466162260566	4.45812759381056e-06	0.00171386526645538	-3.57677749966346	2.72105592589391e-06	9.40196429131237e-05	Translational	TE from deseq2, alpha = 0.05	3
MM_RS04800	-0.14869811768428	0.445419367548337	0.738501456477193	0.861765242770605	123.53279068227	raw_counts / DESeq2 median-of-ratios	0.993	0.809	211.631	173.704	211.631	173.704	-2.26851915053502	0.462113752182326	9.15392098162659e-07	1.75653572614101e-05	2968.33601725702	raw_counts / DESeq2 median-of-ratios	73.318	28.049	4441.771	1249.536	4441.771	1249.536	-2.09091449089575	0.525695560776996	-3.97742466724526	6.96656830431086e-05	0.010736255820088	-2.12510030058824	2.75910087816092e-05	0.00498525963932971	-2.23517068713508	0.000123309697161656	0.00232957744421948	Translational	TE from deseq2, alpha = 0.05	3
MM_RS11760	-2.57116523865838	0.578169534875621	8.70460831054745e-06	0.000176378970089144	211.601054323349	raw_counts / DESeq2 median-of-ratios	0.628	0.104	135.029	21.765	135.029	21.765	-4.94193729188286	0.421910170306776	1.09025208030665e-31	1.25524356179306e-28	2020.47792472284	raw_counts / DESeq2 median-of-ratios	13.666	0.767	810.719	34.768	810.719	34.768	-2.41154892833057	0.611016765006211	-3.94678029547365	7.9209179556702e-05	0.0108074559107977	-2.37779861659275	5.99814587029571e-06	0.00205916347727252	-4.90898367548956	6.04952820199389e-11	8.82558947690887e-09	Intensified	TE from deseq2, alpha = 0.05	3
MM_RS16525	2.86173879109877	0.397486575295771	6.03956445615163e-13	4.12588531847387e-11	3219.42028338024	raw_counts / DESeq2 median-of-ratios	0.905	6.411	193.106	1351.962	193.106	1351.962	4.7437496681004	0.445522761216588	1.78911860590547e-26	6.86623962755279e-24	28093.8386374694	raw_counts / DESeq2 median-of-ratios	5.077	222.172	296.1	10301.388	296.1	10301.388	1.86094949229491	0.482661579874562	3.85559897429281	0.000115446609680252	0.0108074559107977	1.87598811654152	0.000120947502923113	0.0124611572475723	4.77796278024434	9.61798191356858e-18	6.31420512625777e-15	Intensified	TE from deseq2, alpha = 0.05	3
MM_RS11090	-1.95672311241326	0.506116510396813	0.000110566263824457	0.00160220567760167	199.096793664088	raw_counts / DESeq2 median-of-ratios	1.923	0.488	411.865	102.322	411.865	102.322	-4.02379919870441	0.434649943554669	2.09151376350069e-20	3.28367660869609e-18	2342.93300506203	raw_counts / DESeq2 median-of-ratios	53.534	5.785	3198.641	263.912	3198.641	263.912	-2.04864865441379	0.531760100792397	-3.85258061174769	0.000116879479929319	0.0108074559107977	-2.07204012413738	3.30017347831811e-05	0.00566474777553303	-3.99069805003979	1.41082432955989e-10	1.68401122246558e-08	Intensified	TE from deseq2, alpha = 0.05	3
MM_RS11060	-1.28675960315696	0.650174478647862	0.0478048709826317	0.164699490662064	75.2126699260732	raw_counts / DESeq2 median-of-ratios	0.357	0.144	76.916	30.113	76.916	30.113	-3.76721492749313	0.414730429229429	1.0511255402035e-19	1.39637985225496e-17	2207.55403329953	raw_counts / DESeq2 median-of-ratios	27.483	3.523	1633.614	157.716	1633.614	157.716	-2.53923565528564	0.647575430622856	-3.92114267343858	8.81300608348276e-05	0.0108074559107977	-2.48566147165568	4.40697365356851e-06	0.00171386526645538	-3.73257538247985	1.44583039246983e-06	5.7526524403421e-05	Translational	TE from deseq2, alpha = 0.05	3
MM_RS19145	-0.466355567891641	0.412508913718838	0.258251060067274	0.480154187107973	576.297329914549	raw_counts / DESeq2 median-of-ratios	5.529	3.597	1169.668	775.225	1169.668	775.225	1.55547626439499	0.451274054157472	0.000567152730706074	0.00423098387010535	301.587170695805	raw_counts / DESeq2 median-of-ratios	2.761	13.638	161.614	599.206	161.614	599.206	2.0012286038386	0.512886473261547	3.90189390473176	9.54429915328983e-05	0.0108074559107977	2.01905245012241	7.47103814517844e-05	0.00916002641157057	1.59164171719617	0.00565265857039067	0.0454006605266151	Translational	TE from deseq2, alpha = 0.05	3
MM_RS05045	-0.768691809747742	0.459033821798844	0.0940154032100898	0.255154176021935	106.759742107688	raw_counts / DESeq2 median-of-ratios	0.412	0.222	87.878	47.455	87.878	47.455	-2.81065865410741	0.503783666851928	2.41768438412935e-08	7.01737971662418e-07	1379.8404681937	raw_counts / DESeq2 median-of-ratios	14.756	3.82	885.459	164.826	885.459	164.826	-2.10464990852753	0.566091557946409	-3.71786132293246	0.00020091650454211	0.0174169494874942	-2.0479352054585	0.000157466866301323	0.014593040135446	-2.77600378520133	1.62249375657226e-05	0.000426066860475875	Translational	TE from deseq2, alpha = 0.05	3
MM_RS11085	-2.03894437330046	0.446924362783665	5.06279233085485e-06	0.000116395542914173	187.35891226704	raw_counts / DESeq2 median-of-ratios	1.926	0.453	410.629	95.556	410.629	95.556	-4.03566078636999	0.406055203612724	2.8248997587957e-23	6.9694312620574e-21	1616.35007536192	raw_counts / DESeq2 median-of-ratios	41.32	4.241	2425.82	190.114	2425.82	190.114	-1.98988307469115	0.542335233900901	-3.66910160045909	0.000243404337497288	0.017768516637302	-2.00135385739432	1.62898262621401e-05	0.00372819823719513	-4.00076634557979	1.42350574243154e-15	5.34018011375032e-13	Intensified	TE from deseq2, alpha = 0.05	3
MM_RS11070	-2.1165905294068	0.62709677968748	0.000737563031897924	0.0073787163567696	50.771345880287	raw_counts / DESeq2 median-of-ratios	7.143	1.641	1511.417	343.679	1511.417	343.679	-4.54036820227655	0.496566871842049	6.04529505401895e-20	8.35217964663259e-18	1003.76737046234	raw_counts / DESeq2 median-of-ratios	395.171	25.779	22457.192	1167.577	22457.192	1167.577	-2.35289250807638	0.637640320758011	-3.68999956790581	0.000224254432872664	0.017768516637302	-2.42443265760724	4.46563835983323e-05	0.00675996678925021	-4.50274250820114	4.63784760564796e-12	8.69927700887968e-10	Intensified	TE from deseq2, alpha = 0.05	3
MM_RS11105	-2.26829593757434	0.511635301437493	9.27484526912292e-06	0.000186354244020781	153.29721117681	raw_counts / DESeq2 median-of-ratios	1.502	0.281	322.551	60.146	322.551	60.146	-4.20394501923979	0.45574831712745	2.85501910638112e-20	4.10884833060017e-18	1118.16886974853	raw_counts / DESeq2 median-of-ratios	24.496	2.406	1473.774	107.327	1473.774	107.327	-1.98189618603433	0.54925172976815	-3.60835674904643	0.000308142580176914	0.0210117536000254	-1.93766051270139	0.000185259846083189	0.0155121232098436	-4.17000055123456	4.12670633190584e-09	3.49571962180153e-07	Intensified	TE from deseq2, alpha = 0.05	3
