gene_id	log2FC_TE_riborex	pvalue_TE_riborex	padj_TE_riborex	baseMean_counts	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS11770	-5.07692094342517	1.33853060209277e-22	3.51498136109563e-19	962.777957396066	raw_counts / DESeq2 median-of-ratios (via riborex)	0.351	0.031	9.771	0.499	74.482	6.737	581.888	22.195	74.482	6.737	581.888	22.195
MM_RS11765	-5.34102681967472	1.23106247069813e-19	1.61638502402665e-16	1183.53961377299	raw_counts / DESeq2 median-of-ratios (via riborex)	0.408	0.032	6.201	0.268	87.107	6.815	374.052	12.322	87.107	6.815	374.052	12.322
MM_RS11775	-4.60393650162956	2.8800198555499e-19	2.52097738022468e-16	677.763411098572	raw_counts / DESeq2 median-of-ratios (via riborex)	0.173	0.02	10.091	0.656	36.838	4.347	586.294	29.859	36.838	4.347	586.294	29.859
MM_RS16525	4.77796278024434	9.61798191356858e-18	6.31420512625777e-15	8930.64845702236	raw_counts / DESeq2 median-of-ratios (via riborex)	0.905	6.411	5.077	222.172	193.106	1351.962	296.1	10301.388	193.106	1351.962	296.1	10301.388
MM_RS11110	-4.33570871785717	2.46755594142021e-17	1.29596038043389e-14	1436.31499483472	raw_counts / DESeq2 median-of-ratios (via riborex)	5.654	1.048	54.028	4.533	1203.268	224.106	3216.103	207.44	1203.268	224.106	3216.103	207.44
MM_RS05760	-3.99353644274456	1.04618341410845e-15	4.578796075748e-13	1264.42005387065	raw_counts / DESeq2 median-of-ratios (via riborex)	1.654	0.207	22.02	2.316	352.329	44.461	1304.459	105.488	352.329	44.461	1304.459	105.488
MM_RS11085	-4.00076634557979	1.42350574243154e-15	5.34018011375032e-13	758.79358816185	raw_counts / DESeq2 median-of-ratios (via riborex)	1.926	0.453	41.32	4.241	410.629	95.556	2425.82	190.114	410.629	95.556	2425.82	190.114
MM_RS05000	5.96345244417009	3.89172312496051e-15	1.27745811576829e-12	664.567353880346	raw_counts / DESeq2 median-of-ratios (via riborex)	0.083	6.659	0.912	103.507	17.766	1432.527	55.571	4515.955	17.766	1432.527	55.571	4515.955
MM_RS11020	-4.09888875722926	1.38102319946957e-14	4.02951880200787e-12	776.228810592737	raw_counts / DESeq2 median-of-ratios (via riborex)	2.225	0.54	44.119	4.26	473.015	112.343	2609.815	196.899	473.015	112.343	2609.815	196.899
MM_RS11000	-3.55199520708171	3.76100812316385e-13	9.87640733142826e-11	1599.56198944724	raw_counts / DESeq2 median-of-ratios (via riborex)	1.382	0.24	26.866	3.819	293.14	50.907	1586.379	172.197	293.14	50.907	1586.379	172.197
MM_RS11005	-4.15496422758887	1.97327745534515e-12	4.7107514524876e-10	1505.42624243165	raw_counts / DESeq2 median-of-ratios (via riborex)	1.21	0.355	43.412	4.238	258.252	74.331	2608.635	195.753	258.252	74.331	2608.635	195.753
MM_RS11015	-4.35786213159597	3.39962532670386e-12	6.97235197951204e-10	1219.27637313419	raw_counts / DESeq2 median-of-ratios (via riborex)	1.098	0.288	35.237	3.221	233.58	60.188	2167.035	144.496	233.58	60.188	2167.035	144.496
MM_RS11100	-3.92222176890757	3.45165939579804e-12	6.97235197951204e-10	761.680246890585	raw_counts / DESeq2 median-of-ratios (via riborex)	1.374	0.26	19.903	2.291	292.867	55.541	1197.452	104.977	292.867	55.541	1197.452	104.977
MM_RS11070	-4.50274250820114	4.63784760564796e-12	8.69927700887968e-10	366.917903505751	raw_counts / DESeq2 median-of-ratios (via riborex)	7.143	1.641	395.171	25.779	1511.417	343.679	22457.192	1167.577	1511.417	343.679	22457.192	1167.577
MM_RS11080	-3.63406895673331	8.60299675120785e-12	1.50609796457812e-09	764.800153464546	raw_counts / DESeq2 median-of-ratios (via riborex)	1.404	0.285	31.609	4.132	299.76	60.024	1851.078	187.235	299.76	60.024	1851.078	187.235
MM_RS11095	-3.9836161773026	2.16681230213198e-11	3.55628069087411e-09	1018.6188430365	raw_counts / DESeq2 median-of-ratios (via riborex)	1.934	0.386	39.152	4.35	411.859	81.573	2364.406	201.765	411.859	81.573	2364.406	201.765
MM_RS03825	5.71440894239467	3.45840367091457e-11	5.34221649401275e-09	883.199076863192	raw_counts / DESeq2 median-of-ratios (via riborex)	0.058	14.661	2.069	196.368	12.11	3091.752	126.115	8941.086	12.11	3091.752	126.115	8941.086
MM_RS11760	-4.90898367548956	6.04952820199389e-11	8.82558947690887e-09	934.712333063453	raw_counts / DESeq2 median-of-ratios (via riborex)	0.628	0.104	13.666	0.767	135.029	21.765	810.719	34.768	135.029	21.765	810.719	34.768
MM_RS03790	4.78111828587536	7.35634491527588e-11	1.01672430250076e-08	2853.9514178418	raw_counts / DESeq2 median-of-ratios (via riborex)	0.111	2.782	1.756	80.805	23.898	579.169	104.204	3792.989	23.898	579.169	104.204	3792.989
MM_RS00730	4.70223436912324	9.57408774167244e-11	1.19721687664914e-08	6511.8072012815	raw_counts / DESeq2 median-of-ratios (via riborex)	14.631	312.625	95.281	4052.762	3072.115	66275.32	5591.424	184027.007	3072.115	66275.32	5591.424	184027.007
