gene_id	log2FC_Ribo	lfcSE_Ribo	pvalue_Ribo	padj_Ribo	baseMean_counts_Ribo	log2FC_basis_Ribo	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS11770	-5.11010441537309	0.431285292266406	2.18952125859433e-32	7.56260642718483e-29	2256.96722370908	raw_counts / DESeq2 median-of-ratios	9.771	0.499	581.888	22.195	581.888	22.195
MM_RS11760	-4.94193729188286	0.421910170306776	1.09025208030665e-31	1.25524356179306e-28	2020.47792472284	raw_counts / DESeq2 median-of-ratios	13.666	0.767	810.719	34.768	810.719	34.768
MM_RS00730	4.66746766240439	0.398299596989859	1.02488996071809e-31	1.25524356179306e-28	20613.9718725642	raw_counts / DESeq2 median-of-ratios	95.281	4052.762	5591.424	184027.007	5591.424	184027.007
MM_RS03825	5.68172100235996	0.486540839032825	1.65546666698824e-31	1.42949546694434e-28	3016.39479499515	raw_counts / DESeq2 median-of-ratios	2.069	196.368	126.115	8941.086	126.115	8941.086
MM_RS05000	5.9261874156119	0.517549252804845	2.33846766329499e-30	1.61541346180418e-27	2238.90612542292	raw_counts / DESeq2 median-of-ratios	0.912	103.507	55.571	4515.955	55.571	4515.955
MM_RS11765	-5.37484267449255	0.476108792622797	1.48539625943658e-29	8.5509311334899e-27	2212.86641603635	raw_counts / DESeq2 median-of-ratios	6.201	0.268	374.052	12.322	374.052	12.322
MM_RS11775	-4.64032115505389	0.42256280524453	4.69712689822532e-28	2.31769661521004e-25	1903.57008315108	raw_counts / DESeq2 median-of-ratios	10.091	0.656	586.294	29.859	586.294	29.859
MM_RS18200	7.46343611158095	0.683208478884377	8.8414845666004e-28	3.81731096162972e-25	4370.99778266948	raw_counts / DESeq2 median-of-ratios	8.051	2822.759	508.589	134797.892	508.589	134797.892
MM_RS16525	4.7437496681004	0.445522761216588	1.78911860590547e-26	6.86623962755279e-24	28093.8386374694	raw_counts / DESeq2 median-of-ratios	5.077	222.172	296.1	10301.388	296.1	10301.388
MM_RS03905	-4.31435105053848	0.42709092295165	5.4284079333489e-24	1.87497210017871e-21	3407.10321239144	raw_counts / DESeq2 median-of-ratios	14.988	1.322	890.905	58.457	890.905	58.457
MM_RS08860	5.20053666341663	0.516162101754837	7.09755840837932e-24	2.1374403149763e-21	303.095133114383	raw_counts / DESeq2 median-of-ratios	0.188	11.453	10.993	524.049	10.993	524.049
MM_RS11110	-4.37038624641606	0.434299404498783	8.0447956267203e-24	2.1374403149763e-21	2081.76785940771	raw_counts / DESeq2 median-of-ratios	54.028	4.533	3216.103	207.44	3216.103	207.44
MM_RS11025	-4.14183457894445	0.411539596770446	7.94963876137205e-24	2.1374403149763e-21	1773.49960451426	raw_counts / DESeq2 median-of-ratios	41.575	4.025	2457.363	182.195	2457.363	182.195
MM_RS11085	-4.03566078636999	0.406055203612724	2.8248997587957e-23	6.9694312620574e-21	1616.35007536192	raw_counts / DESeq2 median-of-ratios	41.32	4.241	2425.82	190.114	2425.82	190.114
MM_RS03790	4.74882749229667	0.491451797953386	4.33607803604785e-22	9.98454235767286e-20	9530.5149400911	raw_counts / DESeq2 median-of-ratios	1.756	80.805	104.204	3792.989	104.204	3792.989
MM_RS05760	-4.02817591868809	0.417386958187484	4.87078355288664e-22	1.0514803994794e-19	2196.93690321042	raw_counts / DESeq2 median-of-ratios	22.02	2.316	1304.459	105.488	1304.459	105.488
MM_RS04995	5.20729375987287	0.550990093074191	3.36270723447872e-21	6.83222987522912e-19	1323.31063170677	raw_counts / DESeq2 median-of-ratios	1.187	83.913	73.522	3863.418	73.522	3863.418
MM_RS00020	-4.10432895941051	0.437818701520316	6.95081094839135e-21	1.33378338976354e-18	1252.87324193295	raw_counts / DESeq2 median-of-ratios	12.283	1.269	733.997	56.514	733.997	56.514
MM_RS17315	5.42864376911611	0.580853418806893	9.10433838889826e-21	1.65507288396077e-18	3223.54460108779	raw_counts / DESeq2 median-of-ratios	0.992	79.457	60.806	3759.787	60.806	3759.787
MM_RS03830	5.70297987658225	0.61326337853688	1.41243884469495e-20	2.32312560456018e-18	9152.89824559194	raw_counts / DESeq2 median-of-ratios	1.038	112.029	65.79	4998.497	65.79	4998.497
MM_RS05025	3.65265370052058	0.39264473228361	1.36931660173368e-20	2.32312560456018e-18	15183.9192384263	raw_counts / DESeq2 median-of-ratios	7.298	153.011	427.307	6888.759	427.307	6888.759
MM_RS11090	-4.02379919870441	0.434649943554669	2.09151376350069e-20	3.28367660869609e-18	2342.93300506203	raw_counts / DESeq2 median-of-ratios	53.534	5.785	3198.641	263.912	3198.641	263.912
MM_RS11020	-4.13439313583667	0.447096042196227	2.30418409035484e-20	3.46028341221113e-18	1609.12973957818	raw_counts / DESeq2 median-of-ratios	44.119	4.26	2609.815	196.899	2609.815	196.899
MM_RS11105	-4.20394501923979	0.45574831712745	2.85501910638112e-20	4.10884833060017e-18	1118.16886974853	raw_counts / DESeq2 median-of-ratios	24.496	2.406	1473.774	107.327	1473.774	107.327
MM_RS11070	-4.54036820227655	0.496566871842049	6.04529505401895e-20	8.35217964663259e-18	1003.76737046234	raw_counts / DESeq2 median-of-ratios	395.171	25.779	22457.192	1167.577	22457.192	1167.577
MM_RS11060	-3.76721492749313	0.414730429229429	1.0511255402035e-19	1.39637985225496e-17	2207.55403329953	raw_counts / DESeq2 median-of-ratios	27.483	3.523	1633.614	157.716	1633.614	157.716
MM_RS11010	-4.37855345870223	0.483406312732014	1.33219740449107e-19	1.70422586485635e-17	655.847610419601	raw_counts / DESeq2 median-of-ratios	46.439	3.871	2775.316	179.458	2775.316	179.458
MM_RS11080	-3.66919737775188	0.406314921309371	1.71002677602014e-19	2.10944017299056e-17	1667.952811421	raw_counts / DESeq2 median-of-ratios	31.609	4.132	1851.078	187.235	1851.078	187.235
MM_RS11005	-4.18774616961736	0.467044061861844	3.06112171830091e-19	3.6459015224177e-17	3875.24323674384	raw_counts / DESeq2 median-of-ratios	43.412	4.238	2608.635	195.753	2608.635	195.753
MM_RS11000	-3.5866464126453	0.400706432780223	3.52889153170306e-19	4.06293045016746e-17	3307.89438523208	raw_counts / DESeq2 median-of-ratios	26.866	3.819	1586.379	172.197	1586.379	172.197
MM_RS12650	4.17636529171572	0.470262049920067	6.63024721692734e-19	7.38737867331195e-17	473.801817409204	raw_counts / DESeq2 median-of-ratios	0.503	16.142	30.156	714.289	30.156	714.289
MM_RS11055	-3.91551964789304	0.444461455559292	1.25613349566141e-18	1.35583909187953e-16	1793.0099141508	raw_counts / DESeq2 median-of-ratios	61.024	7.249	3655.532	320.909	3655.532	320.909
MM_RS11065	-3.78915083691702	0.431342799495003	1.56996764386394e-18	1.64323280057759e-16	1641.72285733143	raw_counts / DESeq2 median-of-ratios	32.304	4.149	1930.589	185.015	1930.589	185.015
MM_RS00030	-4.49399254867934	0.521348520808357	6.69896757032733e-18	6.80536293762076e-16	1699.7014836354	raw_counts / DESeq2 median-of-ratios	23.933	2.042	1471.093	90.557	1471.093	90.557
MM_RS11015	-4.38986571213572	0.511705013088268	9.57853925772761e-18	9.45264988462605e-16	3085.08129063161	raw_counts / DESeq2 median-of-ratios	35.237	3.221	2167.035	144.496	2167.035	144.496
MM_RS11100	-3.95595985024566	0.461713834838658	1.05306285237345e-17	1.01035530336053e-15	1410.90933655011	raw_counts / DESeq2 median-of-ratios	19.903	2.291	1197.452	104.977	1197.452	104.977
MM_RS11050	-3.61353739806484	0.425056874811626	1.87473888018493e-17	1.75009407896182e-15	1208.02732695707	raw_counts / DESeq2 median-of-ratios	34.092	4.797	2012.949	212.06	2012.949	212.06
MM_RS03765	6.81687549974781	0.810657977107623	4.13292573787788e-17	3.75661197332374e-15	10265.9329546544	raw_counts / DESeq2 median-of-ratios	0.751	195.069	49.955	9018.278	49.955	9018.278
MM_RS04990	6.34718921078465	0.760232482685721	6.8837042106246e-17	6.09649085730702e-15	6897.91330760063	raw_counts / DESeq2 median-of-ratios	0.381	69.91	25.059	3196.023	25.059	3196.023
MM_RS05275	-3.80770760619738	0.461571720103481	1.59140226746456e-16	1.37417585795564e-14	6995.27749492957	raw_counts / DESeq2 median-of-ratios	278.931	36.648	16915.607	1655.297	16915.607	1655.297
MM_RS11095	-4.01663760126191	0.490160482168218	2.51562167050185e-16	2.11925786583254e-14	2185.67860225355	raw_counts / DESeq2 median-of-ratios	39.152	4.35	2364.406	201.765	2364.406	201.765
MM_RS11030	-4.42856987103729	0.54067978438475	2.59615589101128e-16	2.13502915417928e-14	2273.39595467558	raw_counts / DESeq2 median-of-ratios	18.872	1.709	1164.519	75.058	1164.519	75.058
MM_RS03795	5.1739417884206	0.636896153268159	4.52249908757482e-16	3.63272368569382e-14	2910.78178610155	raw_counts / DESeq2 median-of-ratios	0.346	25.436	21.932	1184.535	21.932	1184.535
MM_RS11075	-3.4413045178788	0.424182111214794	4.94665619134917e-16	3.88312511020909e-14	521.375217326145	raw_counts / DESeq2 median-of-ratios	15.267	2.355	894.675	105.546	894.675	105.546
MM_RS03805	4.26004108269079	0.528444665617713	7.53820867298565e-16	5.78599394588721e-14	364.256467998276	raw_counts / DESeq2 median-of-ratios	0.242	8.717	14.909	390.59	14.909	390.59
MM_RS11735	-3.1032191466455	0.395424634574851	4.23350054674832e-15	3.1788067148845e-13	7795.90136375853	raw_counts / DESeq2 median-of-ratios	26.212	5.176	1543.069	231.71	1543.069	231.71
MM_RS00015	-3.53583547338979	0.454948574763933	7.72897792039862e-15	5.67997653979933e-13	2192.03647661441	raw_counts / DESeq2 median-of-ratios	17.08	2.673	1031.302	121.237	1031.302	121.237
MM_RS11045	-3.57419964826674	0.472540776860802	3.91488754950118e-14	2.81708783249523e-12	1193.96328473376	raw_counts / DESeq2 median-of-ratios	44.204	6.601	2657.482	304.67	2657.482	304.67
MM_RS03900	4.2536659106746	0.570450778529831	8.87333910877047e-14	6.25479862891698e-12	330.761474081197	raw_counts / DESeq2 median-of-ratios	0.475	15.039	27.548	641.573	27.548	641.573
MM_RS03810	4.12677456108796	0.557476227548416	1.33541681233612e-13	9.22505933961792e-12	520.858193971166	raw_counts / DESeq2 median-of-ratios	0.198	6.474	12.179	301.306	12.179	301.306
MM_RS05945	-3.11226677861012	0.422344389152796	1.71879159884127e-13	1.16406003576426e-11	525.083963695693	raw_counts / DESeq2 median-of-ratios	3.67	0.7	214.26	31.588	214.26	31.588
MM_RS11035	-4.32865946140122	0.589876328438361	2.16406055351079e-13	1.43743560612044e-11	863.360198787916	raw_counts / DESeq2 median-of-ratios	98.244	9.535	6118.443	442.103	6118.443	442.103
MM_RS12790	-3.04321299235949	0.416561783481878	2.76134600309438e-13	1.79956398012981e-11	1796.34531038558	raw_counts / DESeq2 median-of-ratios	55.805	11.867	3322.963	532.229	3322.963	532.229
MM_RS03800	4.83791674805606	0.666028208727191	3.76276416979844e-13	2.40677545231182e-11	946.950506201669	raw_counts / DESeq2 median-of-ratios	0.297	17.591	18.998	816.508	18.998	816.508
