gene_id	log2FC_RNA	lfcSE_RNA	pvalue_RNA	padj_RNA	baseMean_counts_RNA	log2FC_basis_RNA	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus
MM_RS03825	8.03085029031859	0.578906755538393	9.30541847496836e-44	2.22492555736494e-40	807.290751674856	raw_counts / DESeq2 median-of-ratios	0.058	14.661	12.11	3091.752	12.11	3091.752
MM_RS05000	6.4775690981343	0.477072875537376	5.42791012774873e-42	6.48906655772361e-39	580.642467118092	raw_counts / DESeq2 median-of-ratios	0.083	6.659	17.766	1432.527	17.766	1432.527
MM_RS04990	6.70954079211012	0.521948313544021	8.08354373572934e-38	6.44258435737628e-35	2137.46654674863	raw_counts / DESeq2 median-of-ratios	0.059	5.478	12.809	1176.559	12.809	1176.559
MM_RS03780	6.4276391633952	0.530304874247511	8.21065154729804e-34	4.9079169623974e-31	801.443073016245	raw_counts / DESeq2 median-of-ratios	0.023	2.036	4.9	425.467	4.9	425.467
MM_RS04995	7.60077722302594	0.628182240687614	1.0607891513029e-33	5.07269372153045e-31	379.1277648307	raw_counts / DESeq2 median-of-ratios	0.036	6.313	7.551	1351.114	7.551	1351.114
MM_RS03765	7.29881818259679	0.61829574329868	3.68945955883935e-32	1.47024963419748e-29	690.670848253989	raw_counts / DESeq2 median-of-ratios	0.023	3.819	5.061	797.33	5.061	797.33
MM_RS18200	8.42530287338545	0.723702006937755	2.52181815728598e-31	8.61381030581539e-29	447.602425436169	raw_counts / DESeq2 median-of-ratios	0.242	79.643	51.11	16845.398	51.11	16845.398
MM_RS03830	7.13637890182405	0.624735485117399	3.20809390197556e-30	9.58819064952946e-28	3542.27442803888	raw_counts / DESeq2 median-of-ratios	0.083	11.679	17.332	2475.612	17.332	2475.612
MM_RS01325	4.07811486770166	0.375192659041488	1.6127770290743e-27	4.2846109739074e-25	1129.52028338863	raw_counts / DESeq2 median-of-ratios	0.17	2.686	36.24	571.387	36.24	571.387
MM_RS03775	7.04056858294997	0.651103313156182	2.97796216728245e-27	6.6124678531917e-25	260.362298358271	raw_counts / DESeq2 median-of-ratios	0.032	3.979	6.646	841.267	6.646	841.267
MM_RS03785	5.93860499905165	0.549294358085043	3.04212239168167e-27	6.6124678531917e-25	2950.76906685235	raw_counts / DESeq2 median-of-ratios	0.144	8.755	31.012	1833.238	31.012	1833.238
MM_RS02110	4.18089579214898	0.395136786822503	3.6550043533192e-26	7.28259617398851e-24	470.562704553188	raw_counts / DESeq2 median-of-ratios	0.112	1.89	23.761	403.126	23.761	403.126
MM_RS03770	8.53643947746643	0.825830600898589	4.80346885893043e-25	8.83468772438665e-23	387.561678376821	raw_counts / DESeq2 median-of-ratios	0.021	8.34	4.678	1751.949	4.678	1751.949
MM_RS03795	4.93410604268963	0.494659579464307	1.96594306741827e-23	3.35754991014077e-21	701.690371189829	raw_counts / DESeq2 median-of-ratios	0.056	1.765	12	368.879	12	368.879
MM_RS00730	4.43979816875529	0.479398289597061	2.02168191490067e-20	3.22256097235167e-18	5983.28973981358	raw_counts / DESeq2 median-of-ratios	14.631	312.625	3072.115	66275.32	3072.115	66275.32
MM_RS01320	3.6582004715592	0.400094445567483	6.05513592887213e-20	9.04864375370829e-18	422.65760378873	raw_counts / DESeq2 median-of-ratios	0.475	5.47	101.412	1170.987	101.412	1170.987
MM_RS17315	7.75970143281048	0.858170225396667	1.53624145140058e-19	2.16067841782282e-17	225.30421107904	raw_counts / DESeq2 median-of-ratios	0.007	1.634	1.587	341.886	1.587	341.886
MM_RS03805	5.87964445732722	0.653477356893821	2.30973946571154e-19	3.06810392362016e-17	170.340315828306	raw_counts / DESeq2 median-of-ratios	0.02	1.196	4.233	250.334	4.233	250.334
MM_RS02105	3.757660087439	0.421420137679476	4.80562226015189e-19	6.04749622317008e-17	866.837410008501	raw_counts / DESeq2 median-of-ratios	0.379	4.673	80.11	1004.455	80.11	1004.455
MM_RS03700	3.32230528993783	0.397736243915633	6.65301833675399e-17	7.9536834215894e-15	720.809374976391	raw_counts / DESeq2 median-of-ratios	0.264	2.34	56.383	504.182	56.383	504.182
MM_RS02100	4.17158054780286	0.502001536415127	9.5786002856254e-17	1.09059206109192e-14	3125.28124421364	raw_counts / DESeq2 median-of-ratios	0.256	3.993	53.919	869.917	53.919	869.917
MM_RS03790	4.60269003461732	0.556889358975715	1.39695831400862e-16	1.51823969490664e-14	1113.57202532202	raw_counts / DESeq2 median-of-ratios	0.111	2.782	23.898	579.169	23.898	579.169
MM_RS12655	4.3866736134148	0.54058380224864	4.86999476397186e-16	5.06267716550292e-14	201.84649368975	raw_counts / DESeq2 median-of-ratios	0.055	0.972	11.708	211.094	11.708	211.094
MM_RS12650	4.96513362274573	0.620982257481871	1.28931082208406e-15	1.23603967351595e-13	95.310798331594	raw_counts / DESeq2 median-of-ratios	0.029	0.847	6.284	181.044	6.284	181.044
MM_RS11765	-3.60854377022926	0.451332055275355	1.29238778075695e-15	1.23603967351595e-13	302.045023625261	raw_counts / DESeq2 median-of-ratios	0.408	0.032	87.107	6.815	87.107	6.815
MM_RS13290	4.08970591550721	0.512226765489408	1.41470181094105e-15	1.30098154998463e-13	877.130314281167	raw_counts / DESeq2 median-of-ratios	4.552	71.667	981.427	15222.311	981.427	15222.311
MM_RS16695	4.39441029636825	0.566371567932002	8.56811641411842e-15	7.58754309116931e-13	205.70413438058	raw_counts / DESeq2 median-of-ratios	0.024	0.47	5.213	99.955	5.213	99.955
MM_RS05330	3.64419777434749	0.480824604818705	3.48071737660187e-14	2.97228401694824e-12	1039.57156972159	raw_counts / DESeq2 median-of-ratios	0.246	3.157	52.467	659.496	52.467	659.496
MM_RS03800	5.33077537283458	0.7139602722238	8.23638594480265e-14	6.79075820483556e-12	160.044548428157	raw_counts / DESeq2 median-of-ratios	0.021	0.884	4.355	184.054	4.355	184.054
MM_RS05765	-2.94137048874032	0.394920839190461	9.47656787834243e-14	7.55282459903892e-12	462.803965976758	raw_counts / DESeq2 median-of-ratios	2.637	0.327	558.998	69.471	558.998	69.471
MM_RS05025	3.86237206146937	0.523342713155464	1.5805607912849e-13	1.19777908181439e-11	1524.77635081609	raw_counts / DESeq2 median-of-ratios	0.288	4.204	60.369	888.412	60.369	888.412
MM_RS11770	-3.36014205650326	0.455407764061323	1.60305021405522e-13	1.19777908181439e-11	178.018771455321	raw_counts / DESeq2 median-of-ratios	0.351	0.031	74.482	6.737	74.482	6.737
MM_RS06395	2.94685295037859	0.400487729209064	1.864619136426e-13	1.35100131975593e-11	3939.78913340533	raw_counts / DESeq2 median-of-ratios	2.279	15.367	483.524	3326.533	483.524	3326.533
MM_RS03820	2.92684826409728	0.400450524326513	2.6936100021471e-13	1.89424162209815e-11	363.958663073892	raw_counts / DESeq2 median-of-ratios	0.21	1.518	44.792	322.077	44.792	322.077
MM_RS16525	2.86173879109877	0.397486575295771	6.03956445615163e-13	4.12588531847387e-11	3219.42028338024	raw_counts / DESeq2 median-of-ratios	0.905	6.411	193.106	1351.962	193.106	1351.962
MM_RS03810	4.90627207363813	0.686716684348956	9.03003901863998e-13	5.99745091488006e-11	330.022951945748	raw_counts / DESeq2 median-of-ratios	0.041	1.209	8.822	252.959	8.822	252.959
MM_RS15695	-3.12208071434081	0.437763695435531	9.9002952573093e-13	6.39773134060177e-11	286.905947208314	raw_counts / DESeq2 median-of-ratios	1.183	0.121	251.189	26.114	251.189	26.114
MM_RS05760	-2.85122387015394	0.401288786826143	1.20177080011637e-12	7.56166837652167e-11	367.711502800246	raw_counts / DESeq2 median-of-ratios	1.654	0.207	352.329	44.461	352.329	44.461
MM_RS19375	3.8903948161113	0.553278400963947	2.04277908812467e-12	1.25238071787336e-10	656.717601229861	raw_counts / DESeq2 median-of-ratios	10.85	170.914	2284.157	35617.486	2284.157	35617.486
MM_RS00015	-2.85907654633849	0.410371636948969	3.23673416348753e-12	1.93475784622467e-10	279.043281061902	raw_counts / DESeq2 median-of-ratios	1.057	0.136	225.366	28.973	225.366	28.973
MM_RS04675	2.50908835874242	0.371155796577413	1.37798967519855e-11	8.03603247170668e-10	860.058393357168	raw_counts / DESeq2 median-of-ratios	0.318	1.73	67.591	366.738	67.591	366.738
MM_RS12770	-2.45783271028221	0.368499024708024	2.56067419307382e-11	1.45775523705702e-09	613.813812043761	raw_counts / DESeq2 median-of-ratios	1.158	0.195	246.562	41.591	246.562	41.591
MM_RS05275	-4.16136352272598	0.63861944094757	7.21171940647064e-11	4.01005141880728e-09	3131.63927865834	raw_counts / DESeq2 median-of-ratios	62.04	3.197	12912.851	690.475	12912.851	690.475
MM_RS12125	-2.89396823515557	0.445585668100314	8.31705191332655e-11	4.5195616192645e-09	397.202585979351	raw_counts / DESeq2 median-of-ratios	24.51	2.877	5240.045	622.426	5240.045	622.426
MM_RS08275	-4.26261354527403	0.662120855736713	1.2120322695405e-10	6.43993145882517e-09	992.137323743683	raw_counts / DESeq2 median-of-ratios	0.776	0.036	161.513	7.819	161.513	7.819
MM_RS06020	2.39787125521116	0.374163296981281	1.46840447585003e-10	7.63251109077701e-09	486.655668504718	raw_counts / DESeq2 median-of-ratios	0.507	2.521	107.662	536.414	107.662	536.414
MM_RS00025	-3.18759198343167	0.499015808054961	1.68335972037724e-10	8.56364487536592e-09	199.002268947673	raw_counts / DESeq2 median-of-ratios	0.795	0.085	170.153	17.779	170.153	17.779
MM_RS16090	3.75136037682512	0.59178973414173	2.31247919428444e-10	1.15190369865294e-08	322.067406384599	raw_counts / DESeq2 median-of-ratios	0.098	1.413	20.602	293.723	20.602	293.723
MM_RS02320	-3.20982192055616	0.51312931061639	3.96533837053823e-10	1.93492327427692e-08	108.495769132753	raw_counts / DESeq2 median-of-ratios	0.118	0.012	25.192	2.482	25.192	2.482
MM_RS11110	-2.30960946287519	0.373131906973227	6.0243072590238e-10	2.88082373126518e-08	512.162474413296	raw_counts / DESeq2 median-of-ratios	5.654	1.048	1203.268	224.106	1203.268	224.106
MM_RS08860	6.39624189791449	1.04137605911189	8.14346015962551e-10	3.75091642680366e-08	57.4221106994481	raw_counts / DESeq2 median-of-ratios	0.008	0.62	1.597	130.135	1.597	130.135
MM_RS08245	-5.60437428663188	0.912492469409346	8.1575765032953e-10	3.75091642680366e-08	135.352146374127	raw_counts / DESeq2 median-of-ratios	0.835	0.016	172.952	3.539	172.952	3.539
MM_RS03270	-2.63039472109005	0.429009656964209	8.71538856743729e-10	3.93179133297029e-08	740.483356747383	raw_counts / DESeq2 median-of-ratios	6.231	0.865	1328.948	187.753	1328.948	187.753
MM_RS11000	-2.4720399540529	0.403419812559823	8.9152424919815e-10	3.94747125894959e-08	392.118642370334	raw_counts / DESeq2 median-of-ratios	1.382	0.24	293.14	50.907	293.14	50.907
MM_RS00680	2.72913976491822	0.460831344136482	3.17644595111249e-09	1.38088768529272e-07	1297.8295977574	raw_counts / DESeq2 median-of-ratios	0.546	3.352	114.737	719.358	114.737	719.358
MM_RS03905	-3.15520735462913	0.538279355153323	4.58279075602646e-09	1.95668798172487e-07	227.81979334164	raw_counts / DESeq2 median-of-ratios	0.446	0.047	93.687	10.035	93.687	10.035
MM_RS08530	-2.35279095993977	0.402235465326814	4.9368254632015e-09	2.07086836535347e-07	2275.25999357296	raw_counts / DESeq2 median-of-ratios	5.653	1.035	1210.446	219.828	1210.446	219.828
MM_RS16110	2.04426251992995	0.351538552171974	6.05660362867423e-09	2.49678263382071e-07	1138.56733758075	raw_counts / DESeq2 median-of-ratios	6.878	26.25	1463.831	5604.385	1463.831	5604.385
MM_RS01820	2.42809209537081	0.430998468944541	1.76440686270514e-08	7.15033357411525e-07	225.516871366311	raw_counts / DESeq2 median-of-ratios	0.588	2.873	125.811	615.196	125.811	615.196
MM_RS05580	-2.47495151400144	0.444818560608863	2.63724379229609e-08	1.05094165122999e-06	271.230999089544	raw_counts / DESeq2 median-of-ratios	0.571	0.09	121.962	19.494	121.962	19.494
MM_RS05955	-2.35601552666991	0.426411727696353	3.29086534104082e-08	1.2899113164637e-06	185.689369785826	raw_counts / DESeq2 median-of-ratios	0.383	0.07	81.41	14.87	81.41	14.87
MM_RS11100	-2.28448771837696	0.414450283324935	3.54595286700632e-08	1.36747956532453e-06	219.034572757889	raw_counts / DESeq2 median-of-ratios	1.374	0.26	292.867	55.541	292.867	55.541
MM_RS15050	2.11173879320645	0.384264720790819	3.89535884896926e-08	1.4783814298231e-06	327.956199528791	raw_counts / DESeq2 median-of-ratios	0.234	0.952	49.779	202.711	49.779	202.711
MM_RS11775	-2.96768452049954	0.540569536930655	4.02111585949595e-08	1.50226375313356e-06	78.1322755898851	raw_counts / DESeq2 median-of-ratios	0.173	0.02	36.838	4.347	36.838	4.347
MM_RS04215	-2.0932066330187	0.391193423126893	8.75552912485251e-08	3.22068771346498e-06	375.579795040719	raw_counts / DESeq2 median-of-ratios	2.411	0.527	511.205	112.592	511.205	112.592
MM_RS17790	2.78965592031688	0.523531919518145	9.90104480312493e-08	3.58687850367753e-06	674.752734522921	raw_counts / DESeq2 median-of-ratios	0.256	1.796	54.888	374.894	54.888	374.894
MM_RS03275	-2.37022486439789	0.445691530782491	1.04865830820191e-07	3.74230151479221e-06	543.83943756875	raw_counts / DESeq2 median-of-ratios	1.887	0.335	404.772	71.377	404.772	71.377
MM_RS11095	-2.27547950105659	0.428934238462821	1.12696951952984e-07	3.96262370764094e-06	240.980513029573	raw_counts / DESeq2 median-of-ratios	1.934	0.386	411.859	81.573	411.859	81.573
MM_RS09375	-2.22175536938585	0.419320625375045	1.16780694867269e-07	4.04521965102402e-06	254.649355900201	raw_counts / DESeq2 median-of-ratios	0.6	0.122	126.988	26.012	126.988	26.012
MM_RS07045	-2.0394777958697	0.385104823360294	1.18429684471636e-07	4.04521965102402e-06	600.776308572068	raw_counts / DESeq2 median-of-ratios	30.11	7.061	6386.356	1495.78	6386.356	1495.78
MM_RS11780	-3.05642592411257	0.577917348798558	1.23195220039352e-07	4.14872917062098e-06	149.692712717905	raw_counts / DESeq2 median-of-ratios	5.415	0.655	1137.586	137.648	1137.586	137.648
MM_RS00355	-2.37875983735998	0.45152039261961	1.37668116798067e-07	4.57172871200247e-06	146.949907228908	raw_counts / DESeq2 median-of-ratios	0.571	0.103	121.642	21.836	121.642	21.836
MM_RS15690	-2.54435507425574	0.484863118944042	1.54115191676322e-07	5.04780031915187e-06	270.656049353701	raw_counts / DESeq2 median-of-ratios	0.818	0.123	175.537	26.514	175.537	26.514
MM_RS12765	-2.45229341978058	0.471181706686163	1.94456887220075e-07	6.28305969382703e-06	155.27556692464	raw_counts / DESeq2 median-of-ratios	1.837	0.323	392.077	68.113	392.077	68.113
MM_RS05270	-1.92374381402743	0.373877342448593	2.66969117501136e-07	8.51097546593623e-06	994.331537192612	raw_counts / DESeq2 median-of-ratios	3.159	0.796	669.301	169.056	669.301	169.056
MM_RS15745	-2.01409551618169	0.394284571913156	3.25193993286106e-07	1.02307741835142e-05	1449.69121016994	raw_counts / DESeq2 median-of-ratios	1.515	0.35	324.246	74.479	324.246	74.479
MM_RS09130	-2.03336614764222	0.39874804523742	3.40775315158027e-07	1.05817373836733e-05	583.844337266522	raw_counts / DESeq2 median-of-ratios	2.835	0.654	599.552	139.36	599.552	139.36
MM_RS00020	-2.79752043258449	0.551142462162716	3.85752939192286e-07	1.18248112513943e-05	162.881823378875	raw_counts / DESeq2 median-of-ratios	0.744	0.092	159.798	19.935	159.798	19.935
MM_RS14720	-8.43717639462558	1.67243532461697	4.53890000279431e-07	1.35656373833515e-05	35.701078608399	raw_counts / DESeq2 median-of-ratios	0.123	0	26.658	0	26.658	0
MM_RS08535	-2.25440371265036	0.446683920835575	4.48854109809646e-07	1.35656373833515e-05	2317.04026004929	raw_counts / DESeq2 median-of-ratios	10.976	1.955	2327.828	426.198	2327.828	426.198
MM_RS15475	-2.63363012866655	0.526078731811641	5.55288954882784e-07	1.63913072978362e-05	92.6861883425206	raw_counts / DESeq2 median-of-ratios	0.1	0.015	21.17	3.222	21.17	3.222
MM_RS18340	-2.46679772957803	0.498772318445016	7.5855520877728e-07	2.21183598071522e-05	98.4693218025921	raw_counts / DESeq2 median-of-ratios	0.291	0.049	61.725	10.504	61.725	10.504
MM_RS03510	2.27935701248586	0.463099889046101	8.5683731632566e-07	2.46831087148753e-05	417.131680795082	raw_counts / DESeq2 median-of-ratios	0.277	1.135	59.067	247.054	59.067	247.054
MM_RS08130	2.09103883926766	0.426017006447919	9.18477427713514e-07	2.61438039245597e-05	675.35783270823	raw_counts / DESeq2 median-of-ratios	0.715	2.748	153.352	588.032	153.352	588.032
MM_RS01835	2.71875230807695	0.557257115748339	1.06727116115796e-06	3.00217099568081e-05	312.4986035546	raw_counts / DESeq2 median-of-ratios	0.126	0.794	26.28	169.377	26.28	169.377
MM_RS09100	-2.11433186956762	0.439574149595226	1.50964294358787e-06	4.19715846292859e-05	680.393701001233	raw_counts / DESeq2 median-of-ratios	8.56	1.987	1811.043	417.84	1811.043	417.84
MM_RS05945	-2.49613232799042	0.521738207521805	1.71616632189515e-06	4.71649847776011e-05	99.9389172527757	raw_counts / DESeq2 median-of-ratios	0.3	0.049	63.323	10.566	63.323	10.566
MM_RS07920	2.28175769393522	0.47992715397489	1.99052980323586e-06	5.28817417726328e-05	338.535713676036	raw_counts / DESeq2 median-of-ratios	0.264	1.075	56.129	234.743	56.129	234.743
MM_RS11080	-2.25883944159068	0.474820237232582	1.96246292132928e-06	5.28817417726328e-05	176.716071321929	raw_counts / DESeq2 median-of-ratios	1.404	0.285	299.76	60.024	299.76	60.024
MM_RS03280	-1.92054827027925	0.403835640468512	1.97694239968395e-06	5.28817417726328e-05	575.958067375802	raw_counts / DESeq2 median-of-ratios	1.994	0.477	426.451	102.141	426.451	102.141
MM_RS00030	-3.28356041531884	0.693372408716716	2.18367540975859e-06	5.73754714805802e-05	136.159691189932	raw_counts / DESeq2 median-of-ratios	1.008	0.092	218.385	19.644	218.385	19.644
MM_RS15700	-2.60539725961214	0.553311179808544	2.49255472225937e-06	6.4779329792632e-05	117.658340462587	raw_counts / DESeq2 median-of-ratios	0.397	0.058	85.266	12.511	85.266	12.511
MM_RS04150	2.1237813189836	0.45185788232203	2.60022609036735e-06	6.68509740007347e-05	123.667867405593	raw_counts / DESeq2 median-of-ratios	0.06	0.243	12.773	51.95	12.773	51.95
