gene_id	log2FC_TE_xtail	pvalue_TE_xtail	padj_TE_xtail	log2FC_mRNA_xtail	log2FC_RPF_xtail	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS14720	17.4683668477553	2.74457328325837e-29	9.42212008142598e-26	-10.7097522608945	11.3604345457407	raw_counts / xtail internal size factors	0.123	0	0	0.575	26.658	0	0	24.428	26.658	0	0	24.428
MM_RS09785	7.08121868655169	1.13103325376716e-13	1.94141858009134e-10	1.45121004420169	13.1473815778748	raw_counts / xtail internal size factors	0.074	0.181	0	1.413	15.499	39.032	0	66.194	15.499	39.032	0	66.194
MM_RS04225	-2.63074009509036	4.45929948405152e-07	0.000510292504291629	-0.175381711598312	-2.80539761565317	raw_counts / xtail internal size factors	2.25	1.868	255.362	63.683	478.017	394.777	15381.377	2937.592	478.017	394.777	15381.377	2937.592
MM_RS19190	-7.00840987258452	1.34571964172817e-06	0.0011549638825132	7.67234623621554	0.767682553009027	raw_counts / xtail internal size factors	0	0.025	0.185	0.552	0	5.932	10.966	22.802	0	5.932	10.966	22.802
MM_RS11035	-3.11682047783746	3.92677119993922e-06	0.00171386526645538	-1.16806231505454	-4.28756376750025	raw_counts / xtail internal size factors	3.595	1.553	98.244	9.535	775.769	323.088	6118.443	442.103	775.769	323.088	6118.443	442.103
MM_RS11045	-2.74868753636839	4.49309274631472e-06	0.00171386526645538	-0.771833467117654	-3.53348946437572	raw_counts / xtail internal size factors	0.371	0.192	44.204	6.601	79.636	40.967	2657.482	304.67	79.636	40.967	2657.482	304.67
MM_RS11050	-2.53466162260566	4.45812759381056e-06	0.00171386526645538	-1.03040680719537	-3.57219747608155	raw_counts / xtail internal size factors	0.49	0.207	34.092	4.797	105.491	44.355	2012.949	212.06	105.491	44.355	2012.949	212.06
MM_RS11060	-2.48566147165568	4.40697365356851e-06	0.00171386526645538	-1.23704016525683	-3.7262329879029	raw_counts / xtail internal size factors	0.357	0.144	27.483	3.523	76.916	30.113	1633.614	157.716	76.916	30.113	1633.614	157.716
MM_RS11005	-2.41708668056127	2.95357686697841e-06	0.00171386526645538	-1.72796824786725	-4.14679059063532	raw_counts / xtail internal size factors	1.21	0.355	43.412	4.238	258.252	74.331	2608.635	195.753	258.252	74.331	2608.635	195.753
MM_RS11760	-2.37779861659275	5.99814587029571e-06	0.00205916347727252	-2.52237426929192	-4.90128204914086	raw_counts / xtail internal size factors	0.628	0.104	13.666	0.767	135.029	21.765	810.719	34.768	135.029	21.765	810.719	34.768
MM_RS05330	-2.08452941287546	7.27100800798437e-06	0.00226921549921912	3.69090070616962	1.60650962946997	raw_counts / xtail internal size factors	0.246	3.157	11.569	56.506	52.467	659.496	674.606	2528.669	52.467	659.496	674.606	2528.669
MM_RS11030	-2.62750475969622	8.61380121832873e-06	0.00246426496521021	-1.75726454896031	-4.38777069386904	raw_counts / xtail internal size factors	0.698	0.188	18.872	1.709	150.425	39.807	1164.519	75.058	150.425	39.807	1164.519	75.058
MM_RS11015	-2.44921041503312	1.0125642447254e-05	0.00248295218010163	-1.90062233109633	-4.34896325683423	raw_counts / xtail internal size factors	1.098	0.288	35.237	3.221	233.58	60.188	2167.035	144.496	233.58	60.188	2167.035	144.496
MM_RS03825	-2.35269186997648	9.83590142808086e-06	0.00248295218010163	8.07859548374029	5.72202073843484	raw_counts / xtail internal size factors	0.058	14.661	2.069	196.368	12.11	3091.752	126.115	8941.086	12.11	3091.752	126.115	8941.086
