tx	gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
unassigned_transcript_1	MM_RS00005	4314	6938.08	10721	23051	1060	1987	1537	3729
unassigned_transcript_2	MM_RS00010	773	2584.139	10457.004	8016	155	357	819	1190
unassigned_transcript_3	MM_RS00015	229	526.999	4434	3465	40	90	443	709
unassigned_transcript_4	MM_RS00020	103	184	2846	1909	31	42	186	510
unassigned_transcript_5	MM_RS00025	123.142	257.557	2180	2225	18	62	284	576
unassigned_transcript_6	MM_RS00030	110.928	187	3033	3068	16	32	101	528
unassigned_transcript_7	MM_RS00035	48	71.556	32	15	29	50	11	18.518
unassigned_transcript_8	MM_RS00040	19	23.467	49	12	8	15	42	19.482
unassigned_transcript_9	MM_RS00045	116	196	373	102	56	110	193	178
unassigned_transcript_10	MM_RS18865	112.072	487.955	445	182	8	43	49	111
unassigned_transcript_11	MM_RS00050	185.685	512.854	1131.551	478.127	88.252	202.935	310.586	751.64
unassigned_transcript_12	MM_RS18145	6.02	8	11	10	1	1	0	4
unassigned_transcript_13	MM_RS00055	76.004	260.891	251.941	83	8	11	9	8
unassigned_transcript_14	MM_RS00060	90	273	285	131	8	25	9	8
unassigned_transcript_15	MM_RS00065	410	441.144	130	97	126	64	27	82
unassigned_transcript_16	MM_RS00070	77.156	86.084	89	36	14	21	21	9
unassigned_transcript_17	MM_RS00075	601.228	1826.324	3422.864	1430.791	259.363	437.646	527.932	473.22
unassigned_transcript_18	MM_RS00080	145.603	385.443	1010.772	347.426	37.46	75.071	127.226	217.311
unassigned_transcript_19	MM_RS17630	15	37	149	101.065	0	1	8	5
unassigned_transcript_20	MM_RS00090	622.989	1580.995	3024	1658	81	161	306	259
unassigned_transcript_21	MM_RS00095	381	927.684	1330.679	998	25	67	80	91
unassigned_transcript_22	MM_RS00105	2553	4564.999	1485	984	900	660	666	251
unassigned_transcript_23	MM_RS00110	33.005	63.001	28.016	15	8	16	9	13
unassigned_transcript_24	MM_RS00115	80.756	287.747	440.27	375.771	7.143	8.569	9.062	30.388
unassigned_transcript_25	MM_RS00120	173.216	139.245	159	36.48	6.462	38.447	0	25
unassigned_transcript_26	MM_RS00125	114.079	105.486	74.418	25.91	31.396	73.231	26.6	52.994
unassigned_transcript_27	MM_RS00130	527	786	361	150	47	105	35	50
unassigned_transcript_28	MM_RS00135	241.995	579.711	154	68	88	119	57	85
unassigned_transcript_29	MM_RS19055	29.92	47.53	49.825	21	2	4	3	4
unassigned_transcript_30	MM_RS00145	144.233	353.006	167	49.001	30	56	19	49
unassigned_transcript_31	MM_RS00150	39.364	66.754	35.665	23	3	6.491	3	11
unassigned_transcript_32	MM_RS00155	97.028	161.381	282.063	108	22	39	65	91
unassigned_transcript_33	MM_RS00160	5	13	16	1	3	4	11	7
unassigned_transcript_34	MM_RS00165	97	266	328	91	24	58	39	86
unassigned_transcript_35	MM_RS00170	202.784	242.755	0	36.52	29.538	31.553	36	0
unassigned_transcript_36	MM_RS00175	84.924	110.514	51.582	40.09	60.604	98.769	32.4	40.006
unassigned_transcript_37	MM_RS00180	29.717	39.716	12.509	5	4	4.509	0	1
unassigned_transcript_38	MM_RS00185	4	10	30	11	1	7	11	19
unassigned_transcript_39	MM_RS00190	76	176.611	200.111	60	18	36	39	79
unassigned_transcript_40	MM_RS00195	58	108.639	287	104	21	35	84	96
unassigned_transcript_41	MM_RS00200	264.793	489	1804	1956	32	98	156	157
unassigned_transcript_42	MM_RS00205	661.921	1656.064	5571	2418	138	550	456	661
unassigned_transcript_43	MM_RS00210	407	1549.027	3117	1768	120	168	246	274
unassigned_transcript_44	MM_RS00215	100	159.994	472	146	8	27	102	116
unassigned_transcript_45	MM_RS00220	10	18	95	42	4	9	34	31
unassigned_transcript_46	MM_RS00225	72	136.572	202	403	27	48	117	87
unassigned_transcript_47	MM_RS17635	1	3	7	3	0	0	0	2
unassigned_transcript_48	MM_RS00230	75.362	191.009	224.621	94.994	20.999	82	45.594	65.408
unassigned_transcript_49	MM_RS00240	159.03	244.962	99.999	76.039	12	37	12	31
unassigned_transcript_50	MM_RS00245	281	527	414	391	56	102	66	79
unassigned_transcript_51	MM_RS00250	387	1077	653	582	65	163	99	185
unassigned_transcript_52	MM_RS00255	153.052	334.05	433.24	200	175	226	335	197
unassigned_transcript_53	MM_RS00260	127.026	313.74	462.83	149	124	262	120	220
unassigned_transcript_54	MM_RS00265	71	82	157	42	13	29	84	64
unassigned_transcript_55	MM_RS00270	574.49	1580.831	2040	1639	226	445	525	557
unassigned_transcript_56	MM_RS00275	15	37	32	22	8	7	14	18
unassigned_transcript_57	MM_RS00280	13.627	36.543	244.887	0	0.001	143.014	32.268	153.092
unassigned_transcript_58	MM_RS00285	418	849.316	791	257	22	64	30	44.001
unassigned_transcript_59	MM_RS00290	216.149	315	246	528	23	50	27	72
unassigned_transcript_60	MM_RS00295	478	782	477	707	112	182	110	162
unassigned_transcript_61	MM_RS00300	470	1146	1219	666	65	219	159	238.869
unassigned_transcript_62	MM_RS00305	319.012	531	351	545	36	92	44	89
unassigned_transcript_63	MM_RS00310	1607.992	2760.968	2303	2329	93	391	178	269
unassigned_transcript_64	MM_RS00315	167	378	383	437	19	91	25	71
unassigned_transcript_65	MM_RS00320	22.08	90.001	78	78	16	62	34	66
unassigned_transcript_66	MM_RS00325	179	320	223	126	113	328	142	383
unassigned_transcript_67	MM_RS00330	393.992	611	1001.997	493	101	239	151	275
unassigned_transcript_68	MM_RS00335	120.963	173	174	68	72	158	31	143
unassigned_transcript_69	MM_RS00340	494.228	731.132	1298.075	1162.645	94	218	234.031	294.489
unassigned_transcript_70	MM_RS00345	192	446.543	512	830	32	69	28	94
unassigned_transcript_71	MM_RS00350	317.985	698.041	557	945	71	135	94	151
unassigned_transcript_72	MM_RS00355	86	178	371	474	26.723	65	221	359
unassigned_transcript_73	MM_RS00360	71	216	400	128	14	33	42	45
unassigned_transcript_74	MM_RS00365	22	147	294	49	13	31	40	31
unassigned_transcript_75	MM_RS00370	3006	2993.736	13372	4027	811	829	1204.001	704
unassigned_transcript_76	MM_RS00375	68.994	116	531	270	19	25	60	127
unassigned_transcript_77	MM_RS00380	389	808	2178.985	2513	58	204	178	297
unassigned_transcript_78	MM_RS00385	146.996	334.9	316	103	105	132	34	120
unassigned_transcript_79	MM_RS00390	139	272.374	174.383	60	28	25	22	15
unassigned_transcript_80	MM_RS00395	485.056	3767	5391	383	135	681	218	60
unassigned_transcript_81	MM_RS00400	83	116	69	19	24	44	37	37
unassigned_transcript_82	MM_RS00405	98.964	261.004	89	48	21	42.011	13	18
unassigned_transcript_83	MM_RS00410	675	1363	163	132	127	286	73	150
unassigned_transcript_84	MM_RS00415	103.028	323.038	943.036	370	33	88	64	128
unassigned_transcript_85	MM_RS00420	27	70	135	68	3	12	14	22
unassigned_transcript_86	MM_RS00425	44	130	390	61	4	11	14	14
unassigned_transcript_87	MM_RS00430	40	200	136	81	24	94	65	119
unassigned_transcript_88	MM_RS00435	119.021	295.192	840	220	14	36	60	75
unassigned_transcript_89	MM_RS00440	853.021	1694.439	2168	2421	144	304	231	386
unassigned_transcript_90	MM_RS00445	36	65.758	92	23	19	54	43	43
unassigned_transcript_91	MM_RS00450	106	133	299	79	23	35	48	58
unassigned_transcript_92	MM_RS00455	186	412	138	86	33	140	32	75
unassigned_transcript_93	MM_RS00460	222	438	221	177	74	231	101	158
unassigned_transcript_94	MM_RS00465	496	804	327	331	105	274	62	154
unassigned_transcript_95	MM_RS00470	307.639	569.998	716	666	101	207	331	305
unassigned_transcript_96	MM_RS19060	5	27	7	3	11	15	1	6
unassigned_transcript_97	MM_RS19065	16	15	8	3	2	8	0	5
unassigned_transcript_98	MM_RS00480	361	1042.903	1090.987	1297	30	72	139	176
unassigned_transcript_99	MM_RS00485	55.351	59.995	50.133	0	0	0	0	36.614
unassigned_transcript_100	MM_RS00490	799	1344.923	731	762	150	367	205	279
unassigned_transcript_101	MM_RS00495	61.462	170.53	128.984	58	29	76.04	55	106
unassigned_transcript_102	MM_RS19070	404	616	177.007	144	126	267	110	116
unassigned_transcript_103	MM_RS19075	209	507	117	65	25	127	49	61
unassigned_transcript_104	MM_RS00505	62	166.302	102	52	7	18	0	13
unassigned_transcript_105	MM_RS00510	126.015	333	180	119	35	87	57	68
unassigned_transcript_106	MM_RS00515	76	172.963	85	106	16	51	16	25
unassigned_transcript_107	MM_RS00520	54	135.269	119	77	6	28	8	33
unassigned_transcript_108	MM_RS00525	71	97	148	61	6	18	20	18
unassigned_transcript_109	MM_RS00530	58	253	276	67	3	9.998	11	14
unassigned_transcript_110	MM_RS00535	51	168	170	47	4	17	5	9
unassigned_transcript_111	MM_RS00540	432.503	579.831	276.002	145	699	247	42	440
unassigned_transcript_112	MM_RS00545	32.009	120.033	82	39	4	21	11	20
unassigned_transcript_113	MM_RS00550	152	244.258	228	158	36	81	56	91
unassigned_transcript_114	MM_RS00555	175.68	487.07	734	266	26	107	80	97
unassigned_transcript_115	MM_RS00560	215	482.999	739	353	140	233	243	315
unassigned_transcript_116	MM_RS00565	6.539	0	14.561	4.324	1.859	0	19.682	17.705
unassigned_transcript_117	MM_RS00570	71.461	159.006	644.528	370.676	11.141	32	51.318	51.295
unassigned_transcript_118	MM_RS00575	776	711	702	136	213	302.002	107	129
unassigned_transcript_119	MM_RS00580	153	256	225	33	54	105	20	49
unassigned_transcript_120	MM_RS00585	8	3	5	2	0	0	0	1
unassigned_transcript_121	MM_RS00590	21	40.799	237	286	2	11	11	34
unassigned_transcript_122	MM_RS19365	2	21	31	16	0	3	0	19
unassigned_transcript_123	MM_RS00595	5	3	2	3	3	8	2	9
unassigned_transcript_124	MM_RS19370	1598	3359.782	1537	3153.777	92	250	125	160
unassigned_transcript_125	MM_RS00600	762.357	1366	2162	1189	88	178	258	195
unassigned_transcript_126	MM_RS00605	734	1208.915	915	443.995	205	421	232	234
unassigned_transcript_127	MM_RS00610	59	115	95	64	36	73	57	78
unassigned_transcript_128	MM_RS00615	321.132	621.994	259	379	83	199.947	54	81
unassigned_transcript_129	MM_RS00620	56	119.009	88	61	35	52	25	33
unassigned_transcript_130	MM_RS00625	447	901.839	1013	343	61	137	66	96
unassigned_transcript_131	MM_RS00630	59	88	44	30	80	111	57	66
unassigned_transcript_132	MM_RS00635	717.115	2091.678	773	1210	95	213.171	108	125.333
unassigned_transcript_133	MM_RS00640	580.96	735	2042	1097	144	328	518	760
unassigned_transcript_134	MM_RS00645	798	2126.042	3243.084	1494	288	1034	589	1453.979
unassigned_transcript_135	MM_RS00650	2256	3591.67	4517	2716	767	1668	1490	1607
unassigned_transcript_136	MM_RS00655	295	534.917	272	119	80	154	65	67
unassigned_transcript_137	MM_RS00660	758.973	1163.46	1907	1216	95	111	158	118
unassigned_transcript_138	MM_RS00665	63.865	159.091	71	45	24	27	14	30
unassigned_transcript_139	MM_RS00670	123	277	129	94	6	50	9	11
unassigned_transcript_140	MM_RS00675	80.224	309	134	69	19	47	32	47
unassigned_transcript_141	MM_RS00680	6219.999	12203.634	2386	1712	1507	2652	435	313
unassigned_transcript_142	MM_RS00685	4369	7099.171	1443	550	1649	2109	557	256
unassigned_transcript_143	MM_RS00690	111.563	321.957	270	201	38	70.994	52	79
unassigned_transcript_144	MM_RS00695	256	336	85	45	54	106	54	67
unassigned_transcript_145	MM_RS00700	853.692	3663.419	1326.226	3280.53	2493.541	4968.25	2761.6	5458.121
unassigned_transcript_146	MM_RS00705	14186.69	20660.769	76069.905	18143.226	96692.883	135993.536	129585.046	134286.196
unassigned_transcript_147	MM_RS00710	1526.174	5317.051	3265.093	5296.928	1909.887	6032.549	1726.348	5940.021
unassigned_transcript_148	MM_RS00715	859.546	3666.722	1288.133	3277.959	2498.459	4758.037	2770.481	5458.717
unassigned_transcript_149	MM_RS00720	14166.605	20656.289	75704.169	18109.774	95089.519	132878.378	128809.993	133338.827
unassigned_transcript_150	MM_RS00725	1525.455	5308.226	3262.179	4943.762	1910.251	6037.047	1717.361	5952.524
unassigned_transcript_151	MM_RS19375	5894.509	34238.474	1537	412	462	2201	104	80
unassigned_transcript_152	MM_RS00730	25923	60525	2178	1106	6358	16147	696	454
unassigned_transcript_153	MM_RS00740	817	1913.586	745	881	347	822	548	746
unassigned_transcript_154	MM_RS00745	52	91	139	111	29	35	62	47
unassigned_transcript_155	MM_RS00750	77	107	223	144	22	45	32	66
unassigned_transcript_156	MM_RS00755	144	362.009	259	108	26	83	113	94
unassigned_transcript_157	MM_RS00760	337	670	1281	615	31	72	41	56
unassigned_transcript_158	MM_RS00765	91	198	75	68	5	14	8	7
unassigned_transcript_159	MM_RS00770	341	505.207	1733.987	1668	78	136	231	275
unassigned_transcript_160	MM_RS00775	221	516.994	953	791	57	153	107	323
unassigned_transcript_161	MM_RS00780	413.187	933.189	599.271	1534.597	1153.174	2687.786	1323.837	2266.66
unassigned_transcript_162	MM_RS00785	157	236	255	69	58	89	119	129
unassigned_transcript_163	MM_RS00790	198.899	379	288.112	704	29	60	28	38
unassigned_transcript_164	MM_RS00795	163	264	236	146	37	48	28	50
unassigned_transcript_165	MM_RS00800	31	58	15	12	5	18	5	11
unassigned_transcript_166	MM_RS00805	151	308.995	346	264	36	107	67	101
unassigned_transcript_167	MM_RS00815	151.046	282.172	234	69.951	30	66	50	52
unassigned_transcript_168	MM_RS00820	5	24	6	3	0	3	0	3
unassigned_transcript_169	MM_RS18165	2	1	0	0	0	0	0	0
unassigned_transcript_170	MM_RS00825	871.239	667.383	1840.315	172	35	68.467	53	45
unassigned_transcript_171	MM_RS00830	77	187.019	120	22	28	90	125	178
unassigned_transcript_172	MM_RS00835	549.05	830.597	1240.006	999	108	183	253	232
unassigned_transcript_173	MM_RS00840	167	420.058	252	297	17	57	25	46
unassigned_transcript_174	MM_RS00845	403.454	716.55	2010	951	66	149	196	259
unassigned_transcript_175	MM_RS00850	3	13	75	59	1	8	37	40
unassigned_transcript_176	MM_RS18170	8	15	51	42	0	3	2	9
unassigned_transcript_177	MM_RS00855	18.62	22.29	33	20	0	2	13	40
unassigned_transcript_178	MM_RS00860	20.38	35.71	20	20	19	28	15	24
unassigned_transcript_179	MM_RS19380	0	0	1	0	0	0	0	0
unassigned_transcript_180	MM_RS00865	123	299.58	296	135	24	69.577	45	117
unassigned_transcript_181	MM_RS00870	89	206.714	86	51	172	501	59	167
unassigned_transcript_182	MM_RS18175	62	145	84	79	97	233	181	399
unassigned_transcript_183	MM_RS00880	98	166	182	80	11	27	13	31
unassigned_transcript_184	MM_RS00885	188	257.075	420	223	30	50	46	86
unassigned_transcript_185	MM_RS00890	231	326.442	597	422	37	86	91	162
unassigned_transcript_186	MM_RS00895	1	2	3	1	2	6	1	4
unassigned_transcript_187	MM_RS00900	215	190.674	547	643	31	44	40	51
unassigned_transcript_188	MM_RS00905	25.154	38.952	101.852	34.951	16	22.841	11.501	32.798
unassigned_transcript_189	MM_RS00910	185.379	345.903	389.272	136.015	64.426	172	96.651	153.736
unassigned_transcript_190	MM_RS00915	105.683	180.671	283.883	76	40.574	66.03	93.349	90
unassigned_transcript_191	MM_RS17665	155.582	196.473	217.118	65.732	41.23	89.939	74.278	79.765
unassigned_transcript_192	MM_RS00930	156.533	311.583	229.645	95	32.535	55.54	55.999	61
unassigned_transcript_193	MM_RS18735	15	40	19	5	7	17	9	17
unassigned_transcript_194	MM_RS00940	44	186	169	44	9	21	20	17
unassigned_transcript_195	MM_RS00945	561.76	638.422	768.148	201.43	2412.345	2512.588	7116.102	1951.691
unassigned_transcript_196	MM_RS00950	38771.086	70294.388	95164.726	33874.083	11770.93	33129.939	10182.501	19412.968
unassigned_transcript_197	MM_RS00955	616	1875	1492	1248	1764	4387	2500	3299
unassigned_transcript_198	MM_RS00960	613588.39	510688.919	294827.705	489430.092	19804.977	8845.027	84596.85	28412.926
unassigned_transcript_199	MM_RS00970	229.363	739.975	960.491	2215.537	49.019	100.09	186.224	231.449
unassigned_transcript_200	MM_RS00975	254.766	598.113	1320.756	1687.268	63.832	241.043	409.045	451.662
unassigned_transcript_201	MM_RS00980	112.203	172.018	293	245	55	94	135	113
unassigned_transcript_202	MM_RS00985	74.566	171.109	95.212	52	1	13	11	6
unassigned_transcript_203	MM_RS00990	702.218	1221.131	2411	2015	180.046	393	623	1029
unassigned_transcript_204	MM_RS00995	41	102.092	103	24	12	10	11	6
unassigned_transcript_205	MM_RS01000	66	81	136	78	8	26	30	25
unassigned_transcript_206	MM_RS01010	167	285.005	189	102	35	56	34	56
unassigned_transcript_207	MM_RS01015	173.38	338.484	1309.016	653	39	105	194	261
