tx	gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
unassigned_transcript_1	MM_RS00005	1455	1455	1455	1455	1455	1455	1455	1455
unassigned_transcript_2	MM_RS00010	1458	1458	1458	1458	1458	1458	1458	1458
unassigned_transcript_3	MM_RS00015	843	843	843	843	843	843	843	843
unassigned_transcript_4	MM_RS00020	708	708	708	708	708	708	708	708
unassigned_transcript_5	MM_RS00025	828	828	828	828	828	828	828	828
unassigned_transcript_6	MM_RS00030	462	462	462	462	462	462	462	462
unassigned_transcript_7	MM_RS00035	1008	1008	1008	1008	1008	1008	1008	1008
unassigned_transcript_8	MM_RS00040	1143	1143	1143	1143	1143	1143	1143	1143
unassigned_transcript_9	MM_RS00045	471	471	471	471	471	471	471	471
unassigned_transcript_10	MM_RS18865	22.004	22.004	22.004	22.004	22.004	22.004	22.004	22.004
unassigned_transcript_11	MM_RS00050	258	258	258	258	258	258	258	258
unassigned_transcript_12	MM_RS18145	33.302	33.302	33.302	33.302	33.302	33.302	33.302	33.302
unassigned_transcript_13	MM_RS00055	216	216	216	216	216	216	216	216
unassigned_transcript_14	MM_RS00060	342	342	342	342	342	342	342	342
unassigned_transcript_15	MM_RS00065	465	465	465	465	465	465	465	465
unassigned_transcript_16	MM_RS00070	438	438	438	438	438	438	438	438
unassigned_transcript_17	MM_RS00075	42.036	42.036	42.036	42.036	42.036	42.036	42.036	42.036
unassigned_transcript_18	MM_RS00080	37.467	37.467	37.467	37.467	37.467	37.467	37.467	37.467
unassigned_transcript_19	MM_RS17630	186	186	186	186	186	186	186	186
unassigned_transcript_20	MM_RS00090	672	672	672	672	672	672	672	672
unassigned_transcript_21	MM_RS00095	49.56	49.56	49.56	49.56	49.56	49.56	49.56	49.56
unassigned_transcript_22	MM_RS00105	1146	1146	1146	1146	1146	1146	1146	1146
unassigned_transcript_23	MM_RS00110	936	936	936	936	936	936	936	936
unassigned_transcript_24	MM_RS00115	39.703	39.703	39.703	39.703	39.703	39.703	39.703	39.703
unassigned_transcript_25	MM_RS00120	123	123	123	123	123	123	123	123
unassigned_transcript_26	MM_RS00125	75.104	75.104	75.104	75.104	75.104	75.104	75.104	75.104
unassigned_transcript_27	MM_RS00130	171	171	171	171	171	171	171	171
unassigned_transcript_28	MM_RS00135	210	210	210	210	210	210	210	210
unassigned_transcript_29	MM_RS19055	19.633	19.633	19.633	19.633	19.633	19.633	19.633	19.633
unassigned_transcript_30	MM_RS00145	396	396	396	396	396	396	396	396
unassigned_transcript_31	MM_RS00150	198	198	198	198	198	198	198	198
