tx	gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
unassigned_transcript_1	MM_RS00005	28.791803	20.655923	27.919026	54.861736	1.371865	2.340218	1.82833	3.673297
unassigned_transcript_2	MM_RS00010	5.148416	7.677622	27.175512	19.038948	0.20019	0.419597	0.972232	1.169812
unassigned_transcript_3	MM_RS00015	2.637908	2.70801	19.929485	14.233721	0.089351	0.182952	0.909536	1.205439
unassigned_transcript_4	MM_RS00020	1.412719	1.125778	15.231042	9.337174	0.082451	0.101657	0.454698	1.032437
unassigned_transcript_5	MM_RS00025	1.444195	1.347446	9.975947	9.305559	0.040936	0.128317	0.593652	0.997054
unassigned_transcript_6	MM_RS00030	2.331577	1.753347	24.874731	22.996204	0.065215	0.118694	0.378376	1.638018
unassigned_transcript_7	MM_RS00035	0.462416	0.307507	0.120287	0.051532	0.054176	0.085002	0.018888	0.026331
unassigned_transcript_8	MM_RS00040	0.161421	0.088936	0.162434	0.036356	0.01318	0.022489	0.063598	0.024429
unassigned_transcript_9	MM_RS00045	2.391601	1.802617	3.000654	0.749932	0.22389	0.400215	0.709219	0.541659
unassigned_transcript_10	MM_RS18865	49.459817	96.061895	76.628549	28.642886	0.684638	3.348826	3.854272	7.230232
unassigned_transcript_11	MM_RS00050	6.988899	8.610776	16.618144	6.417506	0.644131	1.347901	2.083556	4.175578
unassigned_transcript_12	MM_RS18145	1.755394	1.04061	1.251556	1.039854	0.056546	0.051458	0	0.172154
unassigned_transcript_13	MM_RS00055	3.416923	5.232076	4.419494	1.33066	0.069744	0.087269	0.072116	0.053084
unassigned_transcript_14	MM_RS00060	2.555454	3.45784	3.157524	1.326441	0.044049	0.125267	0.045547	0.033527
unassigned_transcript_15	MM_RS00065	8.562146	4.109562	1.059299	0.722373	0.510254	0.235857	0.100497	0.252748
unassigned_transcript_16	MM_RS00070	1.710587	0.85137	0.769917	0.284624	0.06019	0.082161	0.082983	0.029451
unassigned_transcript_17	MM_RS00075	138.888711	188.201159	308.52748	117.867824	11.618577	17.841056	21.736919	16.134903
unassigned_transcript_18	MM_RS00080	37.737507	44.563488	102.219123	32.111143	1.882718	3.433542	5.877209	8.313023
unassigned_transcript_19	MM_RS17630	0.783114	0.861702	3.035298	1.881609	0	0.009213	0.074442	0.038529
unassigned_transcript_20	MM_RS00090	9.002497	10.191301	17.050632	8.543937	0.226978	0.410561	0.788126	0.552404
unassigned_transcript_21	MM_RS00095	74.652388	81.084018	101.734504	69.733317	0.949895	2.316665	2.793835	2.631692
unassigned_transcript_22	MM_RS00105	21.633058	17.255375	4.909868	2.973399	1.478857	0.986917	1.00585	0.313918
unassigned_transcript_23	MM_RS00110	0.342417	0.291568	0.113411	0.055496	0.016095	0.029293	0.016642	0.019906
unassigned_transcript_24	MM_RS00115	19.751562	31.394639	42.016849	32.775005	0.338787	0.369867	0.39503	1.09701
unassigned_transcript_25	MM_RS00120	13.675225	4.903899	4.898011	1.027039	0.098923	0.535643	0	0.291314
unassigned_transcript_26	MM_RS00125	14.749951	6.084108	3.754402	1.194641	0.787189	1.670896	0.613003	1.011318
unassigned_transcript_27	MM_RS00130	29.927209	19.911077	7.999062	3.037651	0.517571	1.05224	0.354255	0.419083
