ORF_ID	ORF_type	transcript_id	transcript_type	gene_id	gene_name	gene_type	chrom	strand	start_codon	coordinate
unassigned_transcript_1_522_2123_1602	annotated	unassigned_transcript_1	assumed_protein_coding	MM_RS00005	MM_RS00005	assumed_protein_coding	NC_003901.1	+	ATG	522-2123
unassigned_transcript_2_2677_4281_1605	annotated	unassigned_transcript_2	assumed_protein_coding	MM_RS00010	MM_RS00010	assumed_protein_coding	NC_003901.1	+	ATG	2677-4281
unassigned_transcript_4_5630_6484_855	annotated	unassigned_transcript_4	assumed_protein_coding	MM_RS00020	MM_RS00020	assumed_protein_coding	NC_003901.1	+	ATG	5630-6484
unassigned_transcript_5_6523_7497_975	annotated	unassigned_transcript_5	assumed_protein_coding	MM_RS00025	MM_RS00025	assumed_protein_coding	NC_003901.1	+	ATG	6523-7497
unassigned_transcript_6_7490_8098_609	annotated	unassigned_transcript_6	assumed_protein_coding	MM_RS00030	MM_RS00030	assumed_protein_coding	NC_003901.1	+	ATG	7490-8098
unassigned_transcript_8_9611_10900_1290	annotated	unassigned_transcript_8	assumed_protein_coding	MM_RS00040	MM_RS00040	assumed_protein_coding	NC_003901.1	-	ATG	9611-10900
unassigned_transcript_9_11090_11707_618	annotated	unassigned_transcript_9	assumed_protein_coding	MM_RS00045	MM_RS00045	assumed_protein_coding	NC_003901.1	-	ATG	11090-11707
unassigned_transcript_10_12435_12587_153	annotated	unassigned_transcript_10	assumed_protein_coding	MM_RS18865	MM_RS18865	assumed_protein_coding	NC_003901.1	+	ATG	12435-12587
unassigned_transcript_11_12748_13152_405	annotated	unassigned_transcript_11	assumed_protein_coding	MM_RS00050	MM_RS00050	assumed_protein_coding	NC_003901.1	+	ATG	12748-13152
unassigned_transcript_12_13767_13940_174	annotated	unassigned_transcript_12	assumed_protein_coding	MM_RS18145	MM_RS18145	assumed_protein_coding	NC_003901.1	+	ATG	13767-13940
unassigned_transcript_13_14436_14798_363	annotated	unassigned_transcript_13	assumed_protein_coding	MM_RS00055	MM_RS00055	assumed_protein_coding	NC_003901.1	+	ATG	14436-14798
unassigned_transcript_14_15146_15634_489	annotated	unassigned_transcript_14	assumed_protein_coding	MM_RS00060	MM_RS00060	assumed_protein_coding	NC_003901.1	+	ATG	15146-15634
unassigned_transcript_17_17606_17791_186	annotated	unassigned_transcript_17	assumed_protein_coding	MM_RS00075	MM_RS00075	assumed_protein_coding	NC_003901.1	+	ATG	17606-17791
unassigned_transcript_18_18338_18517_180	annotated	unassigned_transcript_18	assumed_protein_coding	MM_RS00080	MM_RS00080	assumed_protein_coding	NC_003901.1	+	ATG	18338-18517
unassigned_transcript_20_19763_20581_819	annotated	unassigned_transcript_20	assumed_protein_coding	MM_RS00090	MM_RS00090	assumed_protein_coding	NC_003901.1	-	ATG	19763-20581
unassigned_transcript_21_21940_22134_195	annotated	unassigned_transcript_21	assumed_protein_coding	MM_RS00095	MM_RS00095	assumed_protein_coding	NC_003901.1	+	ATG	21940-22134
unassigned_transcript_22_22685_23977_1293	annotated	unassigned_transcript_22	assumed_protein_coding	MM_RS00105	MM_RS00105	assumed_protein_coding	NC_003901.1	-	ATG	22685-23977
unassigned_transcript_24_26001_26183_183	annotated	unassigned_transcript_24	assumed_protein_coding	MM_RS00115	MM_RS00115	assumed_protein_coding	NC_003901.1	+	ATG	26001-26183
unassigned_transcript_25_26685_26954_270	annotated	unassigned_transcript_25	assumed_protein_coding	MM_RS00120	MM_RS00120	assumed_protein_coding	NC_003901.1	+	ATG	26685-26954
unassigned_transcript_26_26958_27179_222	annotated	unassigned_transcript_26	assumed_protein_coding	MM_RS00125	MM_RS00125	assumed_protein_coding	NC_003901.1	+	ATG	26958-27179
unassigned_transcript_28_27707_28063_357	annotated	unassigned_transcript_28	assumed_protein_coding	MM_RS00135	MM_RS00135	assumed_protein_coding	NC_003901.1	+	ATG	27707-28063
unassigned_transcript_29_28376_28522_147	annotated	unassigned_transcript_29	assumed_protein_coding	MM_RS19055	MM_RS19055	assumed_protein_coding	NC_003901.1	-	ATG	28376-28522
unassigned_transcript_30_28930_29472_543	annotated	unassigned_transcript_30	assumed_protein_coding	MM_RS00145	MM_RS00145	assumed_protein_coding	NC_003901.1	-	ATG	28930-29472
unassigned_transcript_31_29823_30167_345	annotated	unassigned_transcript_31	assumed_protein_coding	MM_RS00150	MM_RS00150	assumed_protein_coding	NC_003901.1	-	ATG	29823-30167
