gene_id	gene_name	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS00005	MM_RS00005	1455	1455	1455	1455	1455	1455	1455	1455
MM_RS00010	MM_RS00010	1458	1458	1458	1458	1458	1458	1458	1458
MM_RS00015	MM_RS00015	843	843	843	843	843	843	843	843
MM_RS00020	MM_RS00020	708	708	708	708	708	708	708	708
MM_RS00025	MM_RS00025	828	828	828	828	828	828	828	828
MM_RS00030	MM_RS00030	462	462	462	462	462	462	462	462
MM_RS00035	MM_RS00035	1008	1008	1008	1008	1008	1008	1008	1008
MM_RS00040	MM_RS00040	1143	1143	1143	1143	1143	1143	1143	1143
MM_RS00045	MM_RS00045	471	471	471	471	471	471	471	471
MM_RS00050	MM_RS00050	258	258	258	258	258	258	258	258
MM_RS00055	MM_RS00055	216	216	216	216	216	216	216	216
MM_RS00060	MM_RS00060	342	342	342	342	342	342	342	342
MM_RS00065	MM_RS00065	465	465	465	465	465	465	465	465
MM_RS00070	MM_RS00070	438	438	438	438	438	438	438	438
MM_RS00075	MM_RS00075	42.036	42.036	42.036	42.036	42.036	42.036	42.036	42.036
MM_RS00080	MM_RS00080	37.467	37.467	37.467	37.467	37.467	37.467	37.467	37.467
MM_RS00090	MM_RS00090	672	672	672	672	672	672	672	672
MM_RS00095	MM_RS00095	49.56	49.56	49.56	49.56	49.56	49.56	49.56	49.56
MM_RS00105	MM_RS00105	1146	1146	1146	1146	1146	1146	1146	1146
MM_RS00110	MM_RS00110	936	936	936	936	936	936	936	936
MM_RS00115	MM_RS00115	39.703	39.703	39.703	39.703	39.703	39.703	39.703	39.703
MM_RS00120	MM_RS00120	123	123	123	123	123	123	123	123
MM_RS00125	MM_RS00125	75.104	75.104	75.104	75.104	75.104	75.104	75.104	75.104
MM_RS00130	MM_RS00130	171	171	171	171	171	171	171	171
MM_RS00135	MM_RS00135	210	210	210	210	210	210	210	210
MM_RS00145	MM_RS00145	396	396	396	396	396	396	396	396
MM_RS00150	MM_RS00150	198	198	198	198	198	198	198	198
MM_RS00155	MM_RS00155	2448	2448	2448	2448	2448	2448	2448	2448
MM_RS00160	MM_RS00160	252	252	252	252	252	252	252	252
MM_RS00165	MM_RS00165	972	972	972	972	972	972	972	972
MM_RS00170	MM_RS00170	123	123	123	123	123	123	123	123
MM_RS00175	MM_RS00175	75.104	75.104	75.104	75.104	75.104	75.104	75.104	75.104
MM_RS00180	MM_RS00180	198	198	198	198	198	198	198	198
MM_RS00185	MM_RS00185	933	933	933	933	933	933	933	933
MM_RS00190	MM_RS00190	2667	2667	2667	2667	2667	2667	2667	2667
MM_RS00195	MM_RS00195	1866	1866	1866	1866	1866	1866	1866	1866
MM_RS00200	MM_RS00200	1035	1035	1035	1035	1035	1035	1035	1035
MM_RS00205	MM_RS00205	3072	3072	3072	3072	3072	3072	3072	3072
MM_RS00210	MM_RS00210	957	957	957	957	957	957	957	957
MM_RS00215	MM_RS00215	1203	1203	1203	1203	1203	1203	1203	1203
MM_RS00220	MM_RS00220	681	681	681	681	681	681	681	681
MM_RS00225	MM_RS00225	771	771	771	771	771	771	771	771
MM_RS00230	MM_RS00230	2406	2406	2406	2406	2406	2406	2406	2406
MM_RS00240	MM_RS00240	693	693	693	693	693	693	693	693
MM_RS00245	MM_RS00245	933	933	933	933	933	933	933	933
MM_RS00250	MM_RS00250	345	345	345	345	345	345	345	345
MM_RS00255	MM_RS00255	1260	1260	1260	1260	1260	1260	1260	1260
MM_RS00260	MM_RS00260	1329	1329	1329	1329	1329	1329	1329	1329
MM_RS00265	MM_RS00265	246	246	246	246	246	246	246	246
MM_RS00270	MM_RS00270	1752	1752	1752	1752	1752	1752	1752	1752
MM_RS00275	MM_RS00275	267	267	267	267	267	267	267	267
MM_RS00280	MM_RS00280	1095	1095	1095	1095	1095	1095	1095	1095
MM_RS00285	MM_RS00285	321	321	321	321	321	321	321	321
MM_RS00290	MM_RS00290	1353	1353	1353	1353	1353	1353	1353	1353
MM_RS00295	MM_RS00295	2232	2232	2232	2232	2232	2232	2232	2232
MM_RS00300	MM_RS00300	132	132	132	132	132	132	132	132
MM_RS00305	MM_RS00305	315	315	315	315	315	315	315	315
